ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.572183;0.011724;1.282006;11.125177;14.398890;160.190216;0.005157;1.940230;0.891830;0.006973;
1.547374;0.009188;1.329104;12.693682;10.581178;134.314102;0.005960;1.751304;0.605512;0.007699;
1.415729;0.009014;1.212101;2.982842;13.993344;41.739933;0.008268;1.530723;0.433410;0.008473;
1.864624;0.017225;1.347811;8.163242;23.206417;189.439606;0.003942;2.490995;0.997839;0.004470;
1.839792;0.012067;1.472606;14.661244;16.160086;236.926971;0.002717;2.313836;0.873510;0.005106;
1.764457;0.009963;1.479235;27.642260;13.138271;363.171509;0.002417;2.119926;0.764616;0.005998;
1.652511;0.006004;1.470776;50.000000;9.046502;452.325104;0.002524;1.835276;0.513052;0.004883;
1.415108;0.006995;1.326960;1.326960;9.275341;12.308002;0.007059;1.400478;-0.066528;0.006986;
1.052998;0.020694;1.052998;0.000000;0.000000;0.000000;0.020694;0.866031;-2.028500;0.018985;
1.899100;0.025176;1.321525;10.462153;24.732494;258.755127;0.005647;2.576067;1.002291;0.010480;
2.077007;0.011299;1.581529;8.540331;20.678791;176.603714;0.001770;2.610933;0.834377;0.002647;
2.015384;0.009609;1.637970;13.431563;15.573402;209.175140;0.001910;2.464919;0.775718;0.003615;
1.912300;0.008275;1.611696;24.716299;12.661057;312.934448;0.002012;2.275621;0.714596;0.004284;
1.768273;0.005896;1.543696;48.971725;10.210537;500.027588;0.001809;2.017950;0.601164;0.003892;
1.574242;0.003656;1.451550;45.314220;5.233458;237.150040;0.003193;1.654773;0.274918;0.003420;
1.345932;0.003905;1.303370;1.303370;4.349242;5.668670;0.003959;1.324209;-0.109309;0.003886;
1.235273;0.004251;1.235273;0.000000;0.000000;0.000000;0.004251;1.230783;-0.025391;0.004250;
1.369998;0.006154;1.365127;50.000000;1.934894;96.744713;0.005810;1.463032;0.384512;0.005813;
1.519523;0.007787;1.484734;3.628522;2.809282;10.193542;0.007639;1.632172;0.392738;0.007300;
1.907994;0.035516;1.395920;15.912090;22.146055;352.390045;0.015556;2.539821;0.960040;0.024135;
2.159005;0.013730;1.695474;12.410487;18.381474;228.123047;0.003125;2.659553;0.768088;0.006452;
2.180264;0.007074;1.789443;10.089820;15.740234;158.816132;0.000953;2.594140;0.683983;0.002072;
2.140233;0.005388;1.810292;10.132092;13.487752;136.659134;0.001036;2.496587;0.632709;0.001675;
2.047499;0.004811;1.767431;11.300678;11.565944;130.703003;0.001451;2.351956;0.593122;0.002045;
1.921291;0.003569;1.697373;10.272096;9.682879;99.463463;0.001488;2.153931;0.521230;0.001868;
1.773921;0.002215;1.623305;5.597205;7.846907;43.920746;0.001482;1.917100;0.389114;0.001521;
