ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.839146;0.006741;1.552038;13.027637;12.701517;165.470764;0.001674;2.204943;0.752252;0.002502;
1.702313;0.006706;1.428991;9.782494;13.246910;129.587799;0.001805;2.050327;0.790603;0.002673;
1.451814;0.005987;1.217376;7.835526;13.108023;102.708244;0.001189;1.785898;0.925942;0.001790;
1.239536;0.004840;1.060189;7.446146;11.315620;84.257759;0.000659;1.541196;1.057616;0.000975;
1.172153;0.004610;1.029767;7.340358;9.619466;70.610321;0.001152;1.460247;1.107958;0.000869;
1.793351;0.007246;1.518980;9.828639;13.263867;130.365768;0.001619;2.199962;0.826731;0.001632;
1.773572;0.007621;1.451971;7.733935;15.872245;122.754913;0.001326;2.203864;0.863736;0.001363;
1.628321;0.007110;1.329875;7.074474;15.716796;111.188057;0.001211;2.026921;0.903566;0.001463;
1.429490;0.005518;1.193808;6.873579;13.572920;93.294540;0.000774;1.770226;0.955876;0.001016;
1.289835;0.004393;1.103773;7.197818;11.451861;82.428413;0.000423;1.594617;1.014212;0.000508;
1.257679;0.005002;1.102439;9.874223;9.798782;96.755356;0.000840;1.563002;1.048039;0.001037;
1.805196;0.003667;1.625510;9.137461;9.057602;82.763481;0.001086;2.092568;0.656192;0.000817;
1.834233;0.005425;1.562028;7.219794;13.593275;98.140648;0.000993;2.208362;0.768480;0.000620;
1.782212;0.007353;1.438915;6.610572;17.267225;114.146248;0.000972;2.218857;0.867683;0.000740;
1.679449;0.006845;1.349613;5.996720;17.433100;104.541412;0.000949;2.092893;0.895081;0.000721;
1.590528;0.004570;1.332850;5.871780;14.311854;84.036064;0.000530;1.926383;0.838925;0.000354;
1.553845;0.003614;1.349560;6.559994;11.459525;75.174416;0.000507;1.843538;0.783383;0.000394;
1.567010;0.005083;1.362997;9.699062;11.010662;106.793091;0.000723;1.895528;0.840136;0.001022;
1.712760;0.002554;1.557263;3.754821;9.877335;37.087620;0.001516;1.925739;0.564196;0.000913;
1.889208;0.002642;1.686332;4.692182;11.205773;52.579529;0.000993;2.141349;0.570049;0.000450;
1.930353;0.004425;1.618058;5.321556;15.819586;84.184807;0.000813;2.276181;0.693682;0.000353;
1.890929;0.005934;1.523060;5.850667;18.079273;105.775818;0.000620;2.295876;0.781954;0.000387;
1.863695;0.004859;1.538872;5.837139;16.247149;94.836861;0.000592;2.229742;0.745532;0.000341;
1.895600;0.002337;1.671982;5.633941;11.453367;64.527596;0.000358;2.150787;0.570511;0.000153;
1.954000;0.001879;1.764733;5.716549;9.594312;54.846359;0.000477;2.169305;0.484223;0.000336;
