ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.368101;0.001397;1.226306;6.030844;7.932197;47.837841;0.000468;1.607212;0.998583;0.000227;
1.492836;0.001856;1.496090;50.000000;1.391098;69.554893;0.001710;1.492890;0.000271;0.001856;
1.445449;0.003204;1.382836;50.000000;6.050721;302.536041;0.000760;1.654673;0.833329;0.002384;
1.314737;0.005916;1.083580;10.132451;12.191113;123.525848;0.002169;1.708758;1.423110;0.002846;
1.581705;0.004599;1.417328;50.000000;8.314198;415.709869;0.001542;1.822465;0.811822;0.003562;
1.311344;0.004347;1.202921;50.000000;7.003418;350.170929;0.001736;1.536678;1.012332;0.003353;
1.323625;0.002515;1.312223;50.000000;3.571288;178.564423;0.001549;1.398702;0.410428;0.002403;
1.294908;0.008011;1.124902;20.069511;9.996361;200.622070;0.003817;1.716721;1.504578;0.004534;
1.727982;0.005790;1.560631;50.000000;9.214589;460.729492;0.001400;2.039152;0.867048;0.004163;
1.145845;0.003081;0.935252;4.761278;12.275416;58.446667;0.001651;1.424538;1.413601;0.001419;
1.278664;0.002599;1.097147;5.957416;10.106584;60.209118;0.001183;1.566604;1.241075;0.000885;
1.920691;0.010205;1.514886;25.545811;16.041037;409.781281;0.002231;2.534045;1.144412;0.004313;
1.138249;0.004537;0.859847;6.094591;15.135619;92.245415;0.001585;1.500766;1.644860;0.001758;
1.226953;0.001460;1.206796;16.661726;2.470104;41.156200;0.001086;1.380400;0.842479;0.000955;
1.323418;0.014089;1.033831;29.699903;16.081041;477.605377;0.002408;1.843272;1.597424;0.009299;
1.208975;0.010373;1.165002;50.000000;9.327887;466.394348;0.003799;1.515303;1.369541;0.008615;
2.054134;0.038614;1.052686;15.081738;35.267506;531.895264;0.004188;3.452480;1.390271;0.011153;
1.748711;0.013697;1.300433;8.215957;20.342632;167.134186;0.005642;2.494324;1.387009;0.004029;
1.516095;0.007580;1.215637;13.651565;14.902729;203.445572;0.000600;2.081194;1.428335;0.001796;
1.428199;0.007512;1.057934;8.717574;18.010012;157.003616;0.000995;2.011911;1.555865;0.001138;
1.531824;0.010734;1.086007;7.942088;21.002588;166.804398;0.002685;2.220929;1.540227;0.002126;
1.326937;0.002162;1.111947;5.219068;11.920273;62.212715;0.000622;1.616244;1.181463;0.000432;
1.261154;0.002729;1.116682;30.787472;7.600755;234.008026;0.000635;1.533676;1.215532;0.001235;
1.217953;0.001990;1.045512;8.634836;9.366861;80.881317;0.000156;1.500763;1.305944;0.000322;
1.217191;0.001210;1.125839;14.823185;5.307016;78.666878;0.000251;1.410514;1.012537;0.000425;
1.523536;0.006050;1.297023;11.546322;11.466998;132.401657;0.002340;1.985435;1.297594;0.002061;
1.274019;0.005928;0.986009;5.711774;15.861888;90.599518;0.002275;1.749444;1.637985;0.001264;
1.164723;0.000334;1.150338;50.000000;1.390318;69.515900;0.000208;1.170026;0.040069;0.000333;
1.554837;0.003714;1.240943;7.223690;15.132380;109.311623;0.000363;1.961335;1.175547;0.000600;
1.543463;0.003347;1.214602;5.408504;16.548271;89.501381;0.000843;1.908796;1.117055;0.000801;
1.191263;0.000527;1.119423;10.648042;4.128792;43.963554;0.000069;1.328192;0.806104;0.000123;
1.377645;0.002861;1.213637;10.805901;8.895172;96.120346;0.000636;1.712857;1.227941;0.000638;
1.489326;0.007571;1.489326;0.000000;0.000000;0.000000;0.007571;1.596178;0.461825;0.007362;
1.283018;0.003251;1.283018;0.000000;0.000000;0.000000;0.003251;1.271891;-0.073135;0.003248;
1.179413;0.000981;1.141928;3.028848;2.731929;8.274595;0.000933;1.245647;0.444519;0.000881;
1.916576;0.003407;1.550776;7.368510;15.672660;115.484146;0.000678;2.291446;0.862149;0.001051;
1.867407;0.001377;1.628953;3.374876;13.486483;45.515205;0.000828;2.061869;0.554610;0.000708;
1.289882;0.002320;1.120449;6.655113;9.430392;62.760319;0.000797;1.565338;1.187869;0.000728;
1.431323;0.003839;1.300675;17.356720;7.822062;135.765335;0.001265;1.752164;1.131851;0.001860;
1.474774;0.003125;1.474774;0.000000;0.000000;0.000000;0.003125;1.393155;-0.470978;0.002983;
2.121221;0.011044;1.558841;9.793700;21.794331;213.447144;0.002522;2.876194;1.143148;0.002244;
1.511081;0.004886;1.379401;50.000000;8.003821;400.191101;0.001459;1.801766;0.989832;0.003349;
1.184831;0.000456;1.184831;0.000000;0.000000;0.000000;0.000456;1.135162;-0.402536;0.000401;
1.322823;0.001544;1.322823;0.000000;0.000000;0.000000;0.001544;1.412133;0.230983;0.001261;
1.985491;0.001034;1.778064;7.288615;9.059213;66.029114;0.000167;2.195396;0.538931;0.000299;
1.804958;0.001073;1.594677;2.638144;13.560966;35.775780;0.000730;1.963888;0.493959;0.000606;
1.334547;0.001476;1.163010;5.011908;9.807261;49.153088;0.000410;1.587197;1.074072;0.000139;
1.357103;0.002642;1.182633;5.834861;9.866686;57.570744;0.001142;1.661129;1.183856;0.000722;
1.414469;0.004223;1.414469;0.000000;0.000000;0.000000;0.004223;1.582048;0.730838;0.003635;
2.406409;0.013740;1.840207;24.285143;19.668398;477.649872;0.001630;3.198215;1.022358;0.005171;
2.221031;0.003301;1.989505;13.629034;9.453487;128.841904;0.001079;2.560779;0.672312;0.001535;
1.512428;0.003060;1.321083;11.544473;9.388696;108.387543;0.000921;1.800445;0.980254;0.001495;
1.137512;0.003150;0.924566;5.899748;11.728859;69.197319;0.001615;1.393998;1.351633;0.001759;
1.554739;0.002775;1.384277;15.122776;8.497035;128.498749;0.000548;1.864494;0.994016;0.000989;
1.821442;0.001021;1.707121;6.754288;5.552055;37.500179;0.000633;1.975790;0.473179;0.000596;
1.516535;0.000299;1.421244;3.678909;5.753093;21.165104;0.000134;1.617774;0.432441;0.000095;
1.438916;0.001949;1.242391;4.340235;11.293970;49.018486;0.000876;1.702300;0.996838;0.000516;
1.291497;0.001946;1.090739;3.791131;12.217003;46.316261;0.000943;1.540626;1.116269;0.000600;
1.388323;0.002592;1.207792;12.360469;9.026745;111.574799;0.000584;1.684382;1.124092;0.000885;
2.377005;0.007964;2.068154;37.820549;12.867928;486.672119;0.000591;2.927220;0.851540;0.003772;
2.102881;0.004097;1.733791;7.594427;15.332625;116.442497;0.001247;2.533328;0.848445;0.001165;
1.422950;0.003875;1.103861;6.273593;16.270872;102.076836;0.000315;1.857763;1.364913;0.000166;
1.099617;0.000573;1.099617;0.000000;0.000000;0.000000;0.000573;1.038113;-0.583276;0.000487;
1.617352;0.003334;1.368432;11.197239;11.176547;125.146461;0.000960;1.911242;0.906813;0.001770;
1.699299;0.002642;1.462303;8.299063;11.068433;91.857620;0.000640;2.037413;0.941088;0.000587;
1.454887;0.001322;1.405109;8.807272;3.271818;28.815794;0.000973;1.622421;0.700546;0.000756;
1.443485;0.002419;1.257301;5.028515;10.348835;52.039272;0.001276;1.699409;0.970077;0.001070;
1.159839;0.000183;1.105505;6.099084;3.118413;19.019461;0.000064;1.229538;0.476575;0.000076;
1.263036;0.002480;1.237807;50.000000;4.822456;241.122818;0.000749;1.376288;0.627927;0.002225;
1.959494;0.009338;1.668609;25.832066;13.528014;349.456543;0.001701;2.495184;1.031910;0.004842;
1.353918;0.009687;1.016685;9.524092;16.724270;159.283478;0.003628;1.905792;1.614756;0.003949;
1.103817;0.003010;1.041200;3.695641;3.943356;14.573227;0.002953;1.144687;0.318538;0.002972;
1.593086;0.002872;1.513959;50.000000;5.995667;299.783356;0.000657;1.796159;0.706152;0.002128;
1.472874;0.001753;1.249995;5.795093;11.530439;66.819962;0.000356;1.734176;0.954630;0.000413;
1.423743;0.001303;1.271000;5.170345;8.477311;43.830620;0.000563;1.634802;0.862786;0.000406;
1.397558;0.000946;1.331176;14.593069;3.720098;54.287647;0.000482;1.554376;0.704962;0.000451;
1.097871;0.000400;1.097871;0.000000;0.000000;0.000000;0.000400;1.074284;-0.208433;0.000387;
1.132417;0.003194;1.070007;50.000000;5.608052;280.402588;0.001184;1.296514;0.995875;0.002633;
1.163485;0.003625;1.058244;50.000000;7.658956;382.947784;0.000268;1.422182;1.311255;0.002270;
1.221539;0.000525;1.165230;3.938405;3.646548;14.361582;0.000414;1.309760;0.539675;0.000355;
1.440710;0.003438;1.282246;19.536251;8.783379;171.594284;0.000372;1.794030;1.192282;0.001069;
1.310101;0.002787;1.177950;8.858914;6.989676;61.920940;0.001834;1.517090;0.955584;0.001918;
