Katze;Name;Messung;Scanner;ADC;IVIM;Kurtosis;Region;Comment
1;Sara;1;1.5T;1;1;1;diffusion_wholetumor;
1;Sara;2;1.5T;1;1;1;diffusion_wholetumor;
4;Mikesch;1;1.5T;1;1;1;diff_wholetumor;
4;Mikesch;2;1.5T;1;1;1;diff_wholetumor;
6;Susi;1;1.5T;1;1;1;diffusion_wholetumor;
6;Susi;2;1.5T;1;1;1;diffusion_wholetumor;
7;Cody;1;1.5T;1;1;1;diffusion_wholetumor;
7;Cody;2;1.5T;1;1;1;diffusion_wholetumor;
9;Maexle;1;3T;1;1;1;diff_wholetumor;
9;Maexle;2;3T;1;1;1;diff_wholetumor;
10;Cindy;1;3T;1;1;1;diffusion_wholetumor;
10;Cindy;2;3T;1;1;1;diffusion_wholetumor;
10;Cindy;3;3T;1;1;1;diff_wholetumor;
11;Minka;1;3T;1;1;1;diff_wholetumor;
11;Minka;2;3T;1;1;1;diff_wholetumor;
11;Minka;3;3T;1;1;1;diff_wholetumor;
14;Lauser;1;3T;1;1;1;diffusionap_wholetumor;b50
14;Lauser;2;3T;1;1;1;diff_wholetumor;b50
14;Lauser;3;3T;1;1;1;diff_wholetumor;b50
15;Maunz;1;3T;1;1;1;diff_wholetumor;
15;Maunz;2;3T;1;1;1;diff_wholetumor;
15;Maunz;3;3T;1;1;1;diff_wholetumor;
16;Findus;1;3T;1;1;1;diffusion_wholetumor;
16;Findus;2;3T;1;1;1;diffusion_wholetumor;
16;Findus;3;3T;1;1;1;diff_wholetumor;
18;Sokrates;1;3T;1;1;1;diff_wholetumor;
18;Sokrates;2;3T;1;1;1;diff_wholetumor;
18;Sokrates;3;3T;1;1;1;diff_wholetumor;
19;Seppi;1;3T;1;1;1;diff_wholetumor;
19;Seppi;2;3T;1;1;1;diff_wholetumor;
19;Seppi;3;3T;1;1;1;diff_oldtumor;
