ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
2.131757;0.002187;1.929388;3.588039;11.414602;40.956043;0.001450;2.313704;0.386411;0.001208;
2.328968;0.001633;2.172106;3.455967;8.749040;30.236389;0.001266;2.463343;0.271335;0.001125;
2.392470;0.002372;2.330750;3.326778;3.685717;12.261562;0.002289;2.469513;0.159445;0.002208;
2.309577;0.003437;2.309577;0.000000;0.000000;0.000000;0.003437;2.337448;0.062594;0.003416;
2.209604;0.002171;2.070673;3.944161;7.514432;29.638126;0.001818;2.341330;0.282060;0.001691;
2.488250;0.000859;2.391544;4.326140;4.801445;20.771725;0.000710;2.580867;0.181093;0.000646;
2.590637;0.000353;2.556716;4.224519;1.809330;7.643549;0.000323;2.642600;0.101009;0.000288;
2.547262;0.000633;2.547262;0.000000;0.000000;0.000000;0.000633;2.592059;0.089160;0.000582;
2.361983;0.001665;2.266294;4.027325;5.161130;20.785547;0.001455;2.469969;0.219906;0.001340;
2.041184;0.003442;1.904422;5.610943;7.162489;40.188320;0.002570;2.229896;0.415946;0.002306;
2.487479;0.002355;2.461538;50.000000;2.891268;144.563416;0.001715;2.574926;0.171542;0.002176;
2.627605;0.001059;2.601647;50.000000;1.804668;90.233406;0.000831;2.698628;0.133541;0.000945;
2.630170;0.000513;2.510903;4.301768;5.715811;24.588093;0.000328;2.731693;0.185988;0.000268;
2.532269;0.000977;2.323871;3.891683;10.371700;40.363365;0.000468;2.685162;0.278223;0.000367;
2.369492;0.001874;2.123656;4.046248;12.337677;49.921303;0.000973;2.562878;0.363025;0.000806;
2.157377;0.002401;1.969814;5.020076;9.355093;46.963284;0.001422;2.352470;0.402550;0.001229;
2.374706;0.003727;2.274174;50.000000;4.857439;242.871964;0.002406;2.534259;0.307101;0.003086;
2.542449;0.001933;2.303265;5.920977;9.952773;58.930138;0.001040;2.731345;0.330432;0.001043;
2.602943;0.001460;2.297805;4.535784;13.647532;61.902252;0.000475;2.802817;0.338939;0.000459;
2.577420;0.001120;2.298720;3.840428;13.535423;51.981819;0.000417;2.748883;0.301212;0.000371;
2.465277;0.001032;2.248289;3.653028;11.156330;40.754391;0.000547;2.607972;0.268836;0.000490;
2.286518;0.000763;2.144880;3.370474;8.035362;27.082981;0.000478;2.401312;0.240557;0.000386;
2.071408;0.001021;2.006473;4.020489;3.889907;15.639328;0.000855;2.168744;0.231817;0.000724;
2.485230;0.003602;2.083088;5.458112;16.844553;91.939461;0.001432;2.757892;0.451804;0.001658;
2.644691;0.001698;2.327753;4.438213;14.069620;62.443966;0.000847;2.827015;0.308388;0.000900;
2.616375;0.000694;2.385571;3.176676;12.311495;39.109631;0.000358;2.738524;0.220628;0.000333;
2.470648;0.000625;2.272033;2.789251;11.766112;32.818634;0.000328;2.590116;0.230073;0.000249;
2.246856;0.001374;2.077741;3.076624;10.064852;30.965761;0.000977;2.386476;0.292179;0.000803;
1.991479;0.002305;1.884213;3.523885;6.557717;23.108639;0.001991;2.117517;0.305836;0.001801;
2.463331;0.004096;2.151075;7.257086;12.128484;88.017448;0.002483;2.685256;0.385907;0.002843;
2.578823;0.001661;2.325212;4.956067;11.007468;54.553749;0.000985;2.739551;0.283655;0.001035;
2.517254;0.000694;2.293791;3.670540;11.325729;41.571548;0.000229;2.661475;0.265951;0.000166;
2.335033;0.001344;2.120361;3.750053;11.258266;42.219101;0.000707;2.502436;0.327084;0.000552;
2.085322;0.002841;1.918083;4.381520;8.897393;38.984108;0.002157;2.257212;0.377304;0.001953;
