ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.975072;0.004229;1.747974;10.653757;9.903692;105.511528;0.001722;2.233740;0.547186;0.002207;
2.002515;0.001204;1.854838;6.752092;7.193687;48.572441;0.000255;2.180586;0.404037;0.000201;
1.881976;0.001058;1.809813;4.010947;4.419557;17.726606;0.000848;1.977889;0.256142;0.000747;
1.689809;0.001721;1.665111;2.711654;1.952176;5.293625;0.001692;1.733647;0.143137;0.001652;
2.207906;0.008260;1.938417;50.000000;10.843284;542.164185;0.003307;2.503802;0.536585;0.005961;
2.276699;0.002031;2.085535;12.377671;7.396265;91.548531;0.000662;2.481528;0.393526;0.000886;
2.174173;0.000810;2.040033;4.702433;6.901385;32.453297;0.000340;2.314053;0.301755;0.000220;
1.968657;0.002157;1.881498;2.799334;5.929316;16.598135;0.001997;2.057783;0.227479;0.001901;
1.726859;0.002141;1.665524;2.080540;5.087374;10.584485;0.002069;1.786505;0.185895;0.002014;
1.612576;0.001058;1.549327;2.708665;4.673741;12.659596;0.000953;1.675463;0.213718;0.000911;
2.020452;0.018078;1.804745;50.000000;12.389828;619.491394;0.008986;2.299270;0.558649;0.016076;
2.336590;0.008434;2.101717;50.000000;10.268921;513.446045;0.003083;2.595009;0.457372;0.006794;
2.405856;0.002272;2.210542;48.641113;6.795354;330.533600;0.000738;2.597955;0.352450;0.001332;
2.342448;0.000721;2.175440;4.975003;7.903021;39.317554;0.000187;2.490864;0.293099;0.000109;
2.165627;0.001638;2.027766;3.119454;8.352082;26.053936;0.001337;2.284178;0.262944;0.001217;
1.945132;0.001982;1.832874;2.653470;7.727526;20.504759;0.001766;2.043555;0.252438;0.001666;
1.678666;0.002398;1.679182;3.599468;6.425486;23.128332;0.000770;1.888949;0.302967;0.000682;
1.638465;0.002085;1.631811;4.300776;5.999127;25.800901;0.000594;1.844389;0.325224;0.000528;
2.077365;0.012309;1.911856;50.000000;10.175279;508.763916;0.005783;2.304295;0.464398;0.010964;
2.339961;0.006059;2.140481;50.000000;8.761615;438.080750;0.002164;2.544243;0.378971;0.005024;
2.403059;0.002027;2.200290;25.613045;6.817558;174.618408;0.000727;2.587505;0.341428;0.001155;
2.375067;0.000850;2.181317;5.534328;8.649492;47.869129;0.000155;2.537999;0.312568;0.000125;
2.263538;0.001216;2.072606;3.884804;10.082590;39.168884;0.000622;2.420051;0.318472;0.000498;
2.111267;0.001382;1.921113;3.737212;10.567808;39.494141;0.000690;2.274604;0.355940;0.000544;
1.968426;0.001046;1.811686;4.580363;8.424169;38.585751;0.000346;2.121552;0.363951;0.000273;
1.875853;0.001091;1.747551;6.431901;6.568912;42.250584;0.000298;2.034578;0.396693;0.000238;
1.827157;0.001698;1.713348;6.727075;5.985479;40.264763;0.000940;1.981622;0.400003;0.000883;
2.180378;0.002597;1.988962;30.167389;6.851048;206.678223;0.001278;2.353944;0.358450;0.001759;
2.199012;0.001734;1.975359;7.411255;9.461997;70.125282;0.000460;2.397687;0.398164;0.000599;
2.185788;0.001658;1.950656;6.443294;10.483709;67.549614;0.000175;2.406844;0.437147;0.000210;
2.178033;0.001695;1.931707;5.538997;11.508804;63.747238;0.000206;2.402843;0.445020;0.000171;
2.146924;0.001853;1.898124;5.688248;11.582623;65.884834;0.000309;2.369369;0.447320;0.000357;
2.081001;0.001683;1.876604;6.726131;9.363486;62.980042;0.000354;2.283501;0.429059;0.000435;
2.014338;0.001424;1.853239;8.237235;7.381042;60.799385;0.000258;2.203306;0.420955;0.000312;
1.954978;0.001321;1.787818;5.968444;8.406975;50.176563;0.000206;2.147384;0.442601;0.000108;
1.728795;0.005521;1.708393;4.218965;10.378384;43.786030;0.001662;2.082601;0.456640;0.001471;
1.755537;0.007890;1.545053;3.387621;13.156290;44.568523;0.006804;1.952018;0.511425;0.006596;
1.936653;0.004099;1.697350;10.573484;10.637538;112.475845;0.001002;2.217106;0.592770;0.001623;
2.039436;0.003722;1.831164;11.732853;8.763737;102.823631;0.001699;2.275614;0.494129;0.002073;
