ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.573966;0.016632;1.397475;31.310326;15.022823;470.369507;0.002812;2.114998;1.294825;0.010733;
1.462542;0.018935;1.254761;33.252216;16.835089;559.804077;0.002063;2.031624;1.450349;0.012285;
1.333580;0.020312;1.141616;50.000000;17.160547;858.027344;0.001346;1.895084;1.617424;0.013685;
1.813151;0.020450;1.621603;50.000000;16.565998;828.299866;0.002517;2.437423;1.168844;0.013635;
1.869416;0.018139;1.723682;50.000000;14.465013;723.250610;0.003881;2.443886;1.084404;0.012427;
1.872758;0.020744;1.672597;50.000000;15.760206;788.010315;0.005250;2.532518;1.162124;0.013253;
1.780606;0.021192;1.638574;50.000000;14.158764;707.938171;0.007530;2.379454;1.179641;0.014766;
1.664142;0.006737;1.579414;38.285797;8.173504;312.929108;0.002440;2.003818;0.929179;0.004332;
1.711050;0.009289;1.483899;19.953062;14.069442;280.728455;0.000651;2.209819;1.124011;0.004306;
1.596289;0.015741;1.299076;21.489225;18.424196;395.921692;0.000427;2.249469;1.389211;0.007231;
1.444967;0.019200;1.176101;28.002071;18.697815;523.577576;0.001104;2.117556;1.578135;0.009936;
1.341168;0.018419;1.086932;26.953674;18.047869;486.456360;0.001711;2.014540;1.723870;0.008651;
1.395263;0.014842;1.155800;26.332249;16.270658;428.443024;0.002106;2.018932;1.608266;0.006411;
1.520030;0.016313;1.210923;20.474941;18.572712;380.275177;0.001982;2.202000;1.502141;0.006694;
1.625937;0.024651;1.293562;30.662468;21.242216;651.338745;0.001789;2.404810;1.450709;0.013323;
1.685750;0.037126;1.277339;32.521393;25.531977;830.335510;0.002751;2.624261;1.468865;0.021985;
1.721536;0.036725;1.320492;35.465691;25.260195;895.870300;0.002406;2.628031;1.421059;0.022843;
1.745414;0.024065;1.458808;47.465744;19.986506;948.674377;0.000826;2.461756;1.294095;0.015031;
1.772122;0.014616;1.606808;50.000000;14.258086;712.904358;0.001528;2.286146;1.091533;0.009778;
1.793017;0.011485;1.669041;50.000000;11.988799;599.439941;0.001871;2.240735;0.996850;0.007775;
1.795286;0.013357;1.649476;50.000000;13.099225;654.961243;0.002143;2.312196;1.080559;0.008485;
1.825444;0.017312;1.626651;50.000000;15.278635;763.931763;0.003027;2.429606;1.146529;0.010854;
1.869238;0.021242;1.601222;43.589722;17.902582;780.368530;0.003282;2.607657;1.220418;0.011859;
1.388902;0.011977;1.412378;50.000000;6.436933;321.846649;0.008710;1.673470;1.071144;0.010139;
1.627837;0.006760;1.622855;50.000000;4.062848;203.142410;0.005449;1.839176;0.686247;0.005787;
1.755177;0.003188;1.638216;15.557131;7.287073;113.365952;0.001109;2.044807;0.776112;0.001438;
1.731364;0.005952;1.460270;11.700216;14.456444;169.143524;0.000115;2.212874;1.091974;0.001207;
1.636264;0.012150;1.274179;13.121719;19.332138;253.670914;0.000518;2.298485;1.364408;0.003211;
1.522511;0.017997;1.153957;15.867622;21.075842;334.423492;0.001000;2.293243;1.562477;0.005789;
1.483388;0.017642;1.203659;18.823334;18.230799;343.164429;0.002082;2.198769;1.568966;0.006915;
1.583045;0.011876;1.380762;20.608055;14.009924;288.717285;0.002153;2.142087;1.315617;0.005360;
1.685073;0.010565;1.486290;23.350002;13.540134;316.162170;0.001435;2.215100;1.185067;0.004939;
1.728959;0.015050;1.481794;29.439779;16.387789;482.452911;0.001295;2.321865;1.209484;0.008421;
1.729822;0.019684;1.448245;34.391602;18.453892;634.658875;0.001847;2.372209;1.252273;0.012157;
1.731573;0.018876;1.447214;35.738953;18.279287;653.282593;0.001714;2.343911;1.223636;0.012017;
1.752590;0.011672;1.561964;50.000000;13.864340;693.216980;0.000581;2.210903;1.038807;0.007724;
1.752801;0.006015;1.664612;50.000000;8.656569;432.828430;0.001043;2.046846;0.782498;0.004307;
1.749876;0.005081;1.693183;50.000000;7.365541;368.277008;0.001195;2.027504;0.754290;0.003551;
1.795863;0.008910;1.668793;50.000000;11.062641;553.132080;0.001098;2.209178;0.948398;0.005703;
1.883784;0.018229;1.658007;50.000000;16.705915;835.295776;0.001314;2.514972;1.123435;0.011445;
2.048070;0.031834;1.649028;50.000000;23.724178;1186.208984;0.000697;2.979257;1.197080;0.018778;
2.352975;0.044239;1.702847;36.578869;30.386604;1111.507690;0.001204;3.630988;1.145155;0.022547;
1.562620;0.025129;1.409696;50.000000;16.783258;839.162964;0.005112;2.248469;1.450535;0.016288;
1.428886;0.014130;1.337287;49.644764;12.072788;599.350708;0.003431;1.902939;1.379517;0.009332;
1.515291;0.007724;1.517769;50.000000;5.987433;299.371674;0.004840;1.770390;0.873941;0.006285;
1.664071;0.003372;1.665190;50.000000;2.921838;146.091888;0.002694;1.824762;0.533905;0.002808;
1.718662;0.002262;1.579012;11.702574;7.919522;92.678795;0.000440;1.987528;0.758663;0.000721;
1.677514;0.005646;1.396132;9.600231;14.877699;142.829346;0.000387;2.151430;1.129476;0.000912;
1.603975;0.011725;1.209171;9.953404;20.576525;204.806473;0.000693;2.289621;1.419696;0.001824;
1.539968;0.015091;1.167901;12.117587;20.495317;248.353790;0.001149;2.273261;1.520537;0.003640;
1.582394;0.012111;1.376275;17.075071;14.035181;239.651718;0.002635;2.150318;1.325994;0.005267;
1.709516;0.008413;1.622238;24.714685;8.747295;216.186676;0.003566;2.095406;0.969755;0.005355;
1.776097;0.006835;1.697028;29.654188;7.919172;234.836639;0.002824;2.103844;0.826628;0.004682;
1.772810;0.007102;1.626513;32.660015;10.574139;345.351563;0.001074;2.137943;0.890550;0.004494;
1.746636;0.008420;1.527470;24.564817;12.893532;316.727234;0.001653;2.164524;0.991168;0.004989;
1.726440;0.008118;1.546144;31.457296;11.398894;358.578400;0.002145;2.074536;0.896696;0.005709;
1.744399;0.003690;1.629487;44.996101;7.248962;326.175018;0.001273;1.947534;0.598684;0.002842;
1.733692;0.001235;1.688814;50.000000;3.177896;158.894775;0.000713;1.842331;0.358892;0.000981;
1.763747;0.001759;1.702399;45.703545;4.586251;209.607925;0.000602;1.950185;0.551250;0.001034;
1.837933;0.007388;1.696387;42.181587;10.675725;450.319031;0.000788;2.244278;0.909110;0.004277;
2.003286;0.023347;1.723678;50.000000;19.301849;965.092529;0.001117;2.744744;1.120622;0.014612;
2.238679;0.044839;1.744108;50.000000;27.941345;1397.067261;0.000696;3.370777;1.156673;0.027747;
2.558559;0.067241;1.745750;50.000000;36.067337;1803.366821;0.000227;4.138549;1.104312;0.038931;
1.519485;0.016894;1.337777;34.224693;15.332912;524.764221;0.002513;2.102687;1.406192;0.010030;
1.490844;0.010135;1.405907;34.763954;10.313562;358.540222;0.002700;1.899259;1.206546;0.006540;
1.535013;0.006695;1.515568;48.754276;6.551512;319.414215;0.003295;1.809299;0.901631;0.005041;
1.604572;0.004188;1.578699;50.000000;5.285836;264.291809;0.002046;1.810804;0.686179;0.003257;
1.611367;0.004851;1.430713;15.800164;10.846461;171.375870;0.000535;1.984931;1.034270;0.001835;
1.598246;0.008664;1.279980;11.174868;17.120811;191.322800;0.000494;2.155658;1.301792;0.002057;
1.576711;0.011545;1.221944;11.417643;19.167784;218.850906;0.000527;2.225377;1.413543;0.002601;
1.579829;0.009589;1.330671;12.885199;14.699335;189.403854;0.001732;2.114085;1.292971;0.003374;
1.681046;0.007011;1.640439;23.018299;6.062071;139.538574;0.004446;1.970370;0.820867;0.005220;
1.757863;0.006050;1.757863;0.000000;0.000000;0.000000;0.006050;1.841495;0.275379;0.005902;
1.788803;0.004803;1.788803;0.000000;0.000000;0.000000;0.004803;1.819660;0.104870;0.004783;
1.757508;0.002779;1.783121;50.000000;2.078833;103.941666;0.002527;1.843577;0.283976;0.002624;
1.749604;0.003666;1.677685;27.978325;5.386730;150.711685;0.002146;1.923903;0.527410;0.003035;
1.723627;0.004662;1.631969;27.324482;5.461226;149.225174;0.003536;1.887208;0.513676;0.004096;
1.718661;0.002174;1.694173;1.694173;2.105279;3.566708;0.002178;1.719400;0.002813;0.002174;
1.707731;0.001453;1.707731;0.000000;0.000000;0.000000;0.001453;1.698131;-0.037448;0.001451;
1.781917;0.000896;1.723643;9.028970;3.480112;31.421824;0.000560;1.920082;0.424099;0.000488;
1.928901;0.008804;1.746970;37.662750;12.258175;461.676605;0.000766;2.399720;0.932453;0.004806;
2.132447;0.030333;1.758063;50.000000;22.644827;1132.241333;0.001395;3.031654;1.128595;0.018374;
