ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
2.696621;0.022873;2.125284;43.987850;20.175632;887.482666;0.001794;3.320992;0.720997;0.013757;
2.609793;0.017848;1.972381;33.671497;19.938047;671.343872;0.003413;3.198482;0.719703;0.009540;
2.384316;0.025213;1.519492;9.278453;30.208332;280.286591;0.008210;3.117506;0.867384;0.010914;
2.564855;0.013753;2.318547;48.957592;12.814594;627.371643;0.002614;2.942670;0.548875;0.010331;
2.561805;0.010229;2.126091;30.705795;14.917089;458.041077;0.001071;3.020045;0.629552;0.005061;
2.446937;0.015857;1.788421;10.883404;22.993610;250.248764;0.003846;3.057017;0.776158;0.006010;
2.017758;0.024599;1.348089;8.201811;27.807341;228.070541;0.007520;2.747117;0.991198;0.008846;
2.633451;0.010033;2.521648;44.381405;7.454556;330.843689;0.005870;2.886166;0.402711;0.008518;
2.637845;0.004669;2.368035;34.618645;9.699626;335.787933;0.000418;2.941456;0.462436;0.002472;
2.583208;0.010048;1.981290;9.264271;20.958288;194.163254;0.002162;3.097115;0.676188;0.003223;
2.167018;0.024707;1.468157;8.421307;27.692017;233.202957;0.007545;2.899103;0.935270;0.009055;
2.607302;0.008623;2.508072;36.188271;5.919054;214.200317;0.006159;2.825928;0.363224;0.007480;
2.741578;0.002797;2.574229;32.338337;6.154303;199.019913;0.001010;2.946257;0.328196;0.001843;
2.801493;0.003956;2.308904;6.867486;17.737865;121.814552;0.000762;3.167093;0.508294;0.000793;
2.611005;0.017836;1.746223;6.712532;31.082378;208.641464;0.005481;3.269709;0.774793;0.005892;
1.544453;0.036324;1.160931;10.047315;20.602877;207.003586;0.019867;2.166211;1.171556;0.023418;
2.536730;0.009605;2.293568;25.869522;9.445141;244.341278;0.005332;2.840044;0.479559;0.007296;
2.771810;0.002899;2.632230;31.784950;5.484463;174.323395;0.001332;2.950777;0.289815;0.002180;
2.891567;0.001793;2.533953;5.953766;13.472500;80.212112;0.000487;3.148916;0.380583;0.000346;
2.934099;0.006915;2.164148;4.735745;29.734209;140.813629;0.002313;3.404006;0.589227;0.001589;
2.277759;0.025911;1.474814;6.325952;32.124012;203.214951;0.009936;2.985994;0.889450;0.010393;
1.933261;0.003861;1.677304;4.414891;13.922395;61.465851;0.001768;2.215627;0.604176;0.001177;
2.179047;0.006219;1.700109;4.502075;22.948223;103.314621;0.001726;2.586488;0.687931;0.001051;
2.237574;0.013552;1.875484;15.900493;13.805428;219.513092;0.007146;2.654337;0.672451;0.008699;
2.726955;0.004051;2.549636;30.461597;6.880213;209.582275;0.001616;2.939865;0.339273;0.003002;
2.897333;0.001411;2.677936;18.892395;6.538169;123.521675;0.000411;3.081525;0.286190;0.000701;
2.991384;0.002619;2.521954;4.136584;19.995140;82.711586;0.001226;3.281995;0.410117;0.000840;
2.713011;0.008542;2.010855;4.338646;29.510681;128.036392;0.003827;3.181846;0.628074;0.002746;
1.838766;0.010650;1.586045;3.379752;15.416891;52.105270;0.009033;2.073576;0.556182;0.008666;
1.663006;0.003511;1.592650;5.767045;4.186420;24.143274;0.003133;1.761191;0.304633;0.003145;
1.791797;0.002172;1.709481;5.904034;4.608541;27.208981;0.001763;1.899668;0.300610;0.001768;
1.914346;0.001894;1.857423;4.197813;3.486104;14.634011;0.001744;1.998890;0.223773;0.001659;
2.078801;0.001803;1.962147;3.454038;7.084835;24.471291;0.001441;2.219733;0.321224;0.001177;
2.248079;0.002581;1.983504;3.779970;14.059817;53.145691;0.001380;2.484530;0.452721;0.000944;
2.113547;0.004088;1.826176;5.264693;13.883015;73.089813;0.001847;2.390533;0.538827;0.001713;
1.475657;0.002989;1.475657;0.000000;0.000000;0.000000;0.002989;1.346122;-0.654048;0.002316;
1.668199;0.007845;1.695660;29.505608;0.890414;26.272211;0.007863;1.699233;0.104139;0.007813;
2.394230;0.004966;2.189788;22.441975;7.854254;176.264969;0.002371;2.632906;0.421594;0.003438;
2.759125;0.001763;2.525732;19.047915;7.306688;139.177170;0.000360;2.958121;0.318375;0.000865;
2.921605;0.001415;2.633682;5.416409;11.259053;60.983643;0.000715;3.113897;0.296123;0.000650;
2.814964;0.003351;2.441182;3.725058;17.528769;65.295677;0.002329;3.064543;0.383527;0.001961;
2.286916;0.004536;2.067908;2.825436;13.440673;37.975765;0.003905;2.479179;0.379077;0.003470;
2.323713;0.004943;2.034242;2.988869;16.833977;50.314556;0.003863;2.565081;0.448789;0.003218;
2.989332;0.005470;2.356281;5.018212;24.080170;120.839386;0.002391;3.396970;0.527403;0.001765;
3.007313;0.004729;2.471015;5.518785;19.712122;108.786957;0.002688;3.328295;0.437319;0.002602;
2.547413;0.005993;2.054628;5.033041;20.653133;103.948059;0.003273;2.882144;0.519324;0.003184;
2.281512;0.024638;1.771725;50.000000;19.996115;999.805725;0.006084;2.836511;0.776177;0.017247;
1.683983;0.002570;1.683983;0.000000;0.000000;0.000000;0.002570;1.734198;0.164326;0.002476;
1.781253;0.002997;1.781253;0.000000;0.000000;0.000000;0.002997;1.818328;0.113977;0.002948;
1.890223;0.001692;1.866511;4.811329;1.524081;7.332857;0.001646;1.941824;0.143842;0.001602;
2.002217;0.000904;2.002217;0.000000;0.000000;0.000000;0.000904;2.057843;0.143627;0.000806;
2.035221;0.001943;2.103302;2.447503;2.170691;5.312773;0.000966;2.172587;0.097366;0.000937;
2.282681;0.000900;2.178190;2.840941;6.598180;18.745041;0.000743;2.382075;0.212648;0.000623;
2.272291;0.001360;2.110122;3.974382;8.659933;34.417877;0.000840;2.434915;0.328826;0.000612;
1.965044;0.001228;1.965044;0.000000;0.000000;0.000000;0.001228;2.008568;0.116504;0.001167;
1.670525;0.004503;1.670525;0.000000;0.000000;0.000000;0.004503;1.433699;-1.145697;0.002537;
1.740409;0.004751;1.740409;0.000000;0.000000;0.000000;0.004751;1.563596;-0.732872;0.003725;
2.100930;0.002669;2.101124;31.668539;1.586339;50.237030;0.002449;2.149017;0.117376;0.002602;
2.461737;0.001507;2.288118;15.477451;6.184388;95.718567;0.000447;2.633301;0.313515;0.000736;
2.693336;0.001406;2.381691;5.211980;12.943296;67.460205;0.000315;2.911331;0.353196;0.000272;
2.674174;0.002621;2.319548;3.736579;17.003422;63.534622;0.001593;2.900652;0.369053;0.001386;
2.359679;0.003031;2.197208;2.350499;10.978689;25.805399;0.002802;2.479145;0.242884;0.002647;
2.364053;0.002002;2.279512;2.628040;5.663621;14.884226;0.001879;2.472206;0.222309;0.001688;
2.817148;0.003162;2.437276;5.901284;14.683877;86.653732;0.001295;3.137127;0.463470;0.000803;
2.922969;0.003906;2.419309;5.463145;19.080902;104.241745;0.001604;3.265068;0.470993;0.001308;
2.624867;0.005584;2.154601;5.050167;19.490799;98.431793;0.003136;2.947186;0.492350;0.002999;
2.172756;0.004398;1.849902;3.476787;17.586164;61.143341;0.003074;2.403516;0.458444;0.002852;
1.828755;0.007945;1.609823;50.000000;10.824305;541.215271;0.002190;2.130574;0.666945;0.005187;
2.063629;0.007379;1.833308;50.000000;10.752550;537.627502;0.001456;2.356016;0.571238;0.004997;
2.234185;0.009111;1.858034;28.892866;13.314105;384.682648;0.003356;2.630944;0.652890;0.004912;
2.219575;0.021135;1.508442;9.035064;26.852188;242.611237;0.006869;2.886950;0.879458;0.008970;
1.676027;0.005558;1.516968;10.765720;7.848603;84.495865;0.003698;1.898815;0.593895;0.003826;
1.801834;0.002699;1.637625;6.027617;8.681581;52.329250;0.001353;2.008558;0.514950;0.001217;
1.912870;0.001796;1.845702;6.169811;3.839559;23.689354;0.001442;2.040208;0.322243;0.001254;
2.008179;0.002293;2.008179;0.000000;0.000000;0.000000;0.002293;2.050564;0.110999;0.002237;
2.080904;0.002317;2.080904;0.000000;0.000000;0.000000;0.002317;2.091343;0.027141;0.002313;
2.160288;0.001422;2.160288;0.000000;0.000000;0.000000;0.001422;2.179183;0.046519;0.001411;
2.254268;0.000765;2.201959;2.201959;3.779075;8.321369;0.000744;2.293608;0.090233;0.000721;
2.278673;0.000558;2.203209;3.646048;4.247799;15.487680;0.000457;2.350358;0.156798;0.000416;
2.134866;0.000543;2.116480;7.037844;1.160307;8.166057;0.000498;2.192364;0.137212;0.000445;
1.979572;0.001424;1.979572;0.000000;0.000000;0.000000;0.001424;1.887888;-0.283294;0.001162;
2.025000;0.002532;2.025000;0.000000;0.000000;0.000000;0.002532;1.904335;-0.373235;0.002104;
2.187047;0.001429;2.187047;0.000000;0.000000;0.000000;0.001429;2.155650;-0.079480;0.001401;
2.372207;0.000609;2.312813;24.712725;2.437352;60.233616;0.000341;2.442071;0.145763;0.000479;
2.518973;0.000877;2.313313;5.309637;9.045145;48.026436;0.000198;2.692009;0.310669;0.000111;
2.471508;0.002713;2.110968;4.157848;17.160944;71.352600;0.001010;2.745011;0.460568;0.000674;
2.171049;0.003555;1.875273;3.310700;16.723326;55.365921;0.002258;2.399703;0.455662;0.001937;
2.218582;0.001845;2.058115;2.490334;10.692101;26.626905;0.001584;2.329436;0.241269;0.001485;
2.704448;0.001812;2.511045;8.193664;7.219584;59.154839;0.001052;2.887944;0.304148;0.001033;
2.856014;0.002101;2.577971;10.429471;9.272806;96.710464;0.000617;3.105106;0.372426;0.000749;
2.588509;0.004224;2.225893;6.904751;14.049376;97.007439;0.001788;2.902829;0.487999;0.001730;
2.192669;0.005055;1.933400;4.457133;12.931087;57.635574;0.003787;2.413400;0.437494;0.003614;
2.081975;0.002995;1.875660;2.113241;15.151665;32.019127;0.002649;2.208296;0.292109;0.002507;
2.243695;0.004392;1.925238;3.572129;16.980284;60.655766;0.003078;2.480215;0.452615;0.002798;
2.266469;0.006747;1.836698;5.562392;18.950657;105.410995;0.002880;2.639071;0.621578;0.002705;
2.047118;0.006880;1.663436;8.059400;16.802734;135.419952;0.000565;2.467961;0.735502;0.001232;
1.855041;0.004015;1.572285;5.220199;14.791463;77.214378;0.000926;2.183688;0.700563;0.000379;
1.902571;0.004916;1.601329;5.957521;14.854842;88.498032;0.001482;2.247682;0.704130;0.001079;
1.873397;0.003737;1.642626;6.375994;11.371171;72.502518;0.001653;2.143924;0.604844;0.001392;
1.878753;0.002082;1.724064;5.060446;8.321879;42.112419;0.001218;2.069041;0.462104;0.000912;
1.967213;0.001446;1.843772;6.452394;6.108028;39.411404;0.000826;2.126723;0.378352;0.000646;
