ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
2.754648;0.005700;2.117582;4.848249;26.812561;129.993973;0.001773;3.229188;0.582367;0.001181;
2.198916;0.004484;2.045427;50.000000;7.171663;358.583160;0.002227;2.378370;0.341023;0.003804;
3.146113;0.008300;2.216903;7.307628;30.353168;221.809677;0.000351;3.763517;0.612274;0.001151;
2.295524;0.007210;2.227009;2.227009;15.230292;33.917999;0.005368;2.503802;0.085470;0.005175;
3.271666;0.008430;2.301602;8.183637;29.717459;243.196899;0.000627;3.891148;0.596846;0.001653;
3.049052;0.002221;2.751151;2.884392;16.137636;46.547268;0.001924;3.191244;0.204381;0.001888;
2.837172;0.002921;2.603468;2.603468;13.140919;34.211956;0.003041;2.899227;0.104509;0.002857;
2.945339;0.005401;2.945339;0.000000;0.000000;0.000000;0.005401;2.955450;-0.463138;0.002360;
3.058346;0.002297;2.692591;5.069392;15.005367;76.068085;0.001242;3.362953;0.391686;0.000825;
2.788703;0.002113;2.617659;2.617659;10.216741;26.743942;0.002040;2.883909;0.156326;0.001966;
3.166615;0.004013;2.893095;2.893095;14.912344;43.142830;0.003635;3.448630;0.368089;0.002918;
2.745592;0.002906;2.745592;0.000000;0.000000;0.000000;0.002906;2.812504;0.113079;0.002835;
2.476615;0.001520;2.476615;0.000000;0.000000;0.000000;0.001520;2.455320;-0.043553;0.001511;
3.132505;0.004634;2.766202;2.766202;19.780376;54.716518;0.004314;3.353190;0.301245;0.003989;
2.362712;0.004011;2.362712;0.000000;0.000000;0.000000;0.004011;2.308883;-0.116977;0.003958;
2.202380;0.001082;2.174238;2.174238;1.711475;3.721154;0.001098;2.172794;-0.068564;0.001062;
2.626709;0.001005;2.382850;2.382850;15.742124;37.511116;0.000760;2.769485;0.238539;0.000619;
2.574342;0.003746;2.574342;0.000000;0.000000;0.000000;0.003746;2.590447;0.028970;0.003741;
2.328529;0.000998;2.282372;2.282372;3.269283;7.461720;0.000991;2.355480;0.055887;0.000983;
2.716951;0.001402;2.562469;18.238180;5.869193;107.043404;0.000470;2.893187;0.271167;0.000846;
2.731971;0.001033;2.606726;24.591080;5.157772;126.835182;0.000071;2.887031;0.239848;0.000603;
2.167867;0.001879;2.129034;2.129034;1.149806;2.447975;0.003569;2.101504;-0.165887;0.001777;
1.572994;0.021791;1.572994;0.000000;0.000000;0.000000;0.021791;0.859265;-9.024522;0.006918;
3.018758;0.034242;1.790936;19.441053;34.824223;677.019531;0.001368;4.047183;0.784581;0.014176;
2.390956;0.002821;2.390956;0.000000;0.000000;0.000000;0.002821;2.495599;0.192488;0.002606;
2.727458;0.001662;2.382497;5.809236;14.277559;82.941704;0.000396;2.989506;0.378015;0.000396;
2.110804;0.002932;2.110804;0.000000;0.000000;0.000000;0.002932;1.894723;-0.658129;0.001844;
1.652362;0.024671;1.652362;0.000000;0.000000;0.000000;0.024671;0.863984;-10.244010;0.008160;
3.673136;0.032756;1.392968;7.924003;56.382069;446.771667;0.002669;4.779364;0.749491;0.005692;
2.448840;0.008418;2.351183;50.000000;9.751486;487.574310;0.002192;2.675799;0.362551;0.007473;
2.536623;0.004458;2.521472;50.000000;6.108639;305.431946;0.001884;2.680135;0.236890;0.004084;
2.455058;0.000065;2.410786;2.410786;3.004389;7.242940;0.000057;2.473565;0.036267;0.000058;
2.028367;0.003266;2.028367;0.000000;0.000000;0.000000;0.003266;1.661388;-1.409261;0.000168;
2.807950;0.004136;2.318327;9.106667;17.184559;156.494049;0.000919;3.151402;0.445675;0.001954;
2.378614;0.002156;2.378614;0.000000;0.000000;0.000000;0.002156;2.270277;-0.243646;0.001931;
2.570996;0.000960;2.555434;50.000000;2.899851;144.992538;0.000391;2.627263;0.100715;0.000903;
2.278858;0.000357;2.278858;0.000000;0.000000;0.000000;0.000357;2.218561;-0.137736;0.000280;
1.736945;0.008075;1.736945;0.000000;0.000000;0.000000;0.008075;1.327644;-2.243967;0.003362;
2.958631;0.010755;2.007232;4.366554;38.048103;166.139114;0.005911;3.439438;0.551001;0.006147;
2.396272;0.000244;2.396272;0.000000;0.000000;0.000000;0.000244;2.368253;-0.059089;0.000228;
2.624006;0.003045;2.555625;50.000000;5.789929;289.496460;0.000929;2.820928;0.306825;0.002352;
2.438457;0.000608;2.341962;14.785719;4.096130;60.564232;0.000183;2.564973;0.226518;0.000288;
1.805827;0.002970;1.805827;0.000000;0.000000;0.000000;0.002970;1.605956;-0.754063;0.001893;
2.885886;0.036707;1.372073;3.759739;59.033047;221.948868;0.025349;3.608964;0.747394;0.023262;
2.494467;0.000648;2.326299;2.326299;11.275172;26.229424;0.000557;2.567554;0.134686;0.000541;
2.403781;0.001921;2.403781;0.000000;0.000000;0.000000;0.001921;2.455423;0.099691;0.001870;
