"Katze.No";"Name";"ADC[mm²/10³s]";"D_slow[mm²/10³s]";"D_fast[mm²/10³s]";"f[%]";"Pf[a.u.]";"D_kurtosis[mm²/10³s]";"Kurtosis[a.u.]"
1;"Sara";1.81233;1.70732;5.608074;5.24045;34.760769;1.976362;0.300444
1;"Sara";2.016918;1.906366;4.3752165;4.1535945;22.2971235;2.1774365;0.190302
4;"Mikesch";1.465658;1.267551;12.107504;11.68431;143.0868535;1.8386305;0.8741645
4;"Mikesch";1.693254;1.434132;7.970829;12.477524;106.403557;2.08516;0.727716
6;"Susi";1.530392;1.304348;6.958256;10.331329;73.55619;1.888002;0.800076
6;"Susi";1.920188;1.7044;6.6156305;8.5528085;63.0598925;2.152191;0.5043115
7;"Cody";1.253947;1.133357;9.3917645;7.1773245;72.3155935;1.460978;0.9531185
7;"Cody";2.155688;2.05137;2.808065;3.700687;24.20005;2.277745;0.209709
9;"Maexle";1.784248;1.58948;7.886068;8.602321;64.962646;2.04044;0.552956
9;"Maexle";2.1101445;1.9291035;5.557671;7.0648155;43.206526;2.298804;0.3330125
10;"Cindy";1.689592;1.426285;6.239491;10.469228;69.748375;2.029429;0.7491235
10;"Cindy";1.820151;1.553006;6.987914;10.230253;73.220825;2.138035;0.629909
10;"Cindy";2.189967;1.987746;6.5645955;7.152347;51.782358;2.3401185;0.362937
11;"Minka";1.793809;1.607803;5.408422;7.65145;45.215725;2.036848;0.468519
11;"Minka";2.70611;2.587631;3.145706;4.141591;19.705673;2.797587;0.111852
11;"Minka";2.71386;2.657404;3.6379275;2.1780685;16.4460395;2.741722;0.0720315
14;"Lauser";1.9728;1.678786;15.313865;11.810144;193.145767;2.454614;0.866401
14;"Lauser";1.9953205;1.702943;12.692023;9.9469915;136.878799;2.4046595;0.681503
14;"Lauser";2.275596;2.1138935;8.75187;6.055558;60.619354;2.4667655;0.346163
15;"Maunz";2.18306;1.933966;5.662607;9.797169;54.654198;2.443708;0.415184
15;"Maunz";2.072858;1.863205;5.341706;8.165108;44.396091;2.310889;0.37429
15;"Maunz";2.053451;1.803851;5.584534;10.752434;80.163246;2.275635;0.467747
16;"Findus";0.942496;0.847565;7.708536;7.607858;62.158127;1.141314;1.112958
16;"Findus";1.898632;1.744525;5.977523;6.899955;43.225086;2.075818;0.367134
16;"Findus";2.061196;1.9101495;6.7683955;5.760586;43.416056;2.2083;0.31095
18;"Sokrates";1.2696105;1.103709;6.3938405;9.8953385;61.493616;1.5488825;0.879221
18;"Sokrates";1.4256875;1.222327;6.4086755;10.1253675;66.039734;1.729421;0.8366075
18;"Sokrates";1.79457;1.488461;8.242455;10.956316;92.006485;2.100292;0.749983
19;"Seppi";0.913883;0.800963;6.188251;7.950528;52.634731;1.135332;1.20538
19;"Seppi";1.765563;1.5590855;5.764135;9.3117045;55.7071875;2.0131725;0.554707
19;"Seppi";1.992713;1.826983;4.770262;8.579865;50.347729;2.185939;0.378686
