ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
2.021958;0.004282;1.815455;45.426365;8.988332;408.307251;0.001437;2.300487;0.523503;0.002472;
1.742984;0.007287;1.331148;3.956041;24.700054;97.714424;0.002228;2.214567;0.876063;0.001062;
1.762367;0.003459;1.762367;0.000000;0.000000;0.000000;0.003459;1.757370;-0.015441;0.003458;
2.123603;0.001908;1.984187;4.748649;5.724899;27.185535;0.001565;2.170857;0.181561;0.001632;
2.040171;0.002329;1.963256;19.547379;4.700254;91.877647;0.001370;2.133527;0.205760;0.002124;
1.723122;0.001634;1.647395;1.717091;7.132533;12.247208;0.001572;1.783851;0.176665;0.001532;
1.637103;0.001373;1.637103;0.000000;0.000000;0.000000;0.001373;1.654209;0.056405;0.001364;
1.612310;0.003231;1.474847;8.150061;8.616558;70.225471;0.001415;1.889990;0.683399;0.001109;
1.880726;0.003482;1.794699;1.794699;7.528763;13.511864;0.003445;1.916200;0.093862;0.003448;
1.610410;0.018798;1.204041;12.635167;22.603546;285.599579;0.002142;2.280663;1.084375;0.007512;
1.781072;0.013118;1.671261;50.000000;12.325421;616.271057;0.002717;2.178240;0.757511;0.009491;
1.689514;0.007499;1.566545;50.000000;10.123481;506.174042;0.001182;1.948810;0.603880;0.005853;
1.792907;0.006816;1.521975;14.892009;13.637148;203.084534;0.001484;2.227225;0.803793;0.002136;
1.959159;0.022231;1.536839;28.603144;21.086401;603.137329;0.002594;2.627799;0.902180;0.012726;
2.423243;0.044882;1.549532;32.329014;32.395294;1047.307983;0.000536;3.492481;0.901399;0.023831;
1.994742;0.013713;1.631168;21.168583;18.120819;383.592072;0.000554;2.584086;0.843327;0.005986;
1.929198;0.016799;1.562163;36.561691;17.734127;648.389648;0.003313;2.563873;0.907534;0.007729;
2.122062;0.034890;1.456965;34.311428;27.789625;953.501709;0.002480;3.064094;0.965880;0.017003;
1.685640;0.004404;1.610121;30.712250;7.053419;216.626358;0.001402;1.922721;0.570634;0.002941;
1.784808;0.003578;1.619943;11.033239;9.435971;104.109337;0.000958;2.063938;0.603502;0.001578;
1.853763;0.003551;1.674004;7.344172;9.971040;73.229019;0.001723;2.110771;0.545390;0.001866;
1.799892;0.003172;1.777928;50.000000;4.534020;226.701019;0.001692;1.934234;0.335187;0.002726;
1.694135;0.011952;1.477851;21.359560;13.930097;297.540741;0.002967;2.037257;0.720382;0.009079;
2.493293;0.053858;1.538052;42.126358;34.070896;1435.282837;0.002385;3.570841;0.881579;0.033380;
2.126090;0.009322;1.995747;50.000000;11.047681;552.384033;0.001485;2.447175;0.548121;0.007194;
1.859035;0.002677;1.707870;8.937534;8.517896;76.128983;0.000925;2.118432;0.548134;0.000966;
1.737818;0.004034;1.515445;6.714872;12.913760;86.714249;0.000991;2.063390;0.692068;0.001176;
1.509690;0.000777;1.509690;0.000000;0.000000;0.000000;0.000777;1.511581;0.007136;0.000777;
1.652810;0.002123;1.534406;4.770023;7.777845;37.100506;0.001376;1.853728;0.525011;0.001014;
1.594713;0.001535;1.538530;11.473172;4.344014;49.839622;0.000771;1.751717;0.447729;0.000841;
1.854078;0.001170;1.705726;5.704962;8.482599;48.392906;0.000274;2.039260;0.424075;0.000286;
1.917172;0.001495;1.822959;8.762408;5.253573;46.033955;0.000877;2.066763;0.341128;0.000938;
1.773805;0.007844;1.546754;15.601957;13.322186;207.852188;0.000998;2.161215;0.746363;0.004123;
2.125417;0.013310;1.671526;15.620934;19.946350;311.580627;0.001195;2.745309;0.819714;0.004852;
1.928710;0.000979;1.828774;11.788342;5.500268;64.839035;0.000101;2.089563;0.359332;0.000342;
1.719886;0.000782;1.632434;11.657433;5.106496;59.528633;0.000035;1.865592;0.381369;0.000216;
1.566215;0.002473;1.561374;50.000000;2.925320;146.265991;0.001828;1.731144;0.479454;0.001713;
1.517473;0.005084;1.386615;50.000000;9.138570;456.928497;0.000662;1.765675;0.670877;0.003424;
1.437252;0.010843;1.094203;5.327394;21.763443;115.942429;0.003187;2.003009;1.163845;0.001518;
1.280422;0.002905;1.191915;6.742435;6.822266;45.998688;0.001703;1.515699;0.817680;0.001155;
1.681713;0.002249;1.571381;24.448736;6.939962;169.673294;0.000135;1.877849;0.495955;0.001236;
1.788868;0.002861;1.609169;9.625260;9.878151;95.079781;0.000534;2.043039;0.561136;0.001193;
1.422131;0.002685;1.312492;18.881319;7.168504;135.350815;0.000754;1.580894;0.523176;0.001955;
1.648400;0.008876;1.426145;22.327284;13.795746;308.021515;0.000416;2.077368;0.860328;0.004203;
1.803302;0.004468;1.529322;7.606419;14.824317;112.759964;0.000283;2.193898;0.748440;0.000545;
1.794623;0.001779;1.718274;17.751356;5.405245;95.950424;0.000430;1.959105;0.397735;0.001089;
1.571060;0.001656;1.571060;0.000000;0.000000;0.000000;0.001656;1.623074;0.173975;0.001574;
1.434257;0.007168;1.118983;4.520122;20.649734;93.339310;0.001746;1.896009;1.062386;0.000693;
1.650579;0.021526;1.097963;7.341844;29.674274;217.863876;0.001737;2.535144;1.180809;0.000884;
1.168929;0.008057;1.124071;12.284063;5.109277;62.762684;0.006688;1.416729;0.951394;0.006004;
1.489657;0.002915;1.360153;10.994190;8.208449;90.245255;0.000930;1.741577;0.701211;0.001108;
1.468235;0.003890;1.290517;6.492814;11.168838;72.517181;0.001778;1.737450;0.748347;0.001796;
1.258992;0.000921;1.217520;4.871256;3.177938;15.480547;0.000764;1.326320;0.304028;0.000769;
1.348976;0.005685;1.348976;0.000000;0.000000;0.000000;0.005685;1.444062;0.369287;0.005404;
1.479713;0.010202;1.305683;40.211323;11.696315;470.324280;0.003366;1.878120;0.941680;0.005922;
1.780959;0.000517;1.758807;15.894955;1.919672;30.513100;0.000334;1.846244;0.179215;0.000406;
1.510698;0.004347;1.510698;0.000000;0.000000;0.000000;0.004347;1.595170;0.288514;0.004132;
