ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.773398;0.007100;1.406436;5.524639;18.831221;104.035698;0.001796;2.179004;0.836778;0.001542;
1.791047;0.011167;1.347878;5.950813;21.895782;130.297714;0.003187;2.282436;0.921205;0.003123;
1.523379;0.005569;1.279624;7.854345;13.217292;103.813171;0.000826;1.867423;0.892469;0.001203;
1.511187;0.006421;1.234584;6.603710;15.349995;101.366920;0.000932;1.886409;0.948562;0.001133;
1.591576;0.009817;1.235535;7.128049;18.662321;133.025940;0.001149;2.068111;1.019673;0.001593;
1.674045;0.012763;1.253513;7.894679;20.789404;164.125656;0.001198;2.226780;1.039902;0.002093;
1.660326;0.014938;1.214713;8.815372;21.630922;190.684616;0.001221;2.249699;1.076812;0.002979;
1.542699;0.018374;1.134896;12.098186;20.443430;247.328415;0.002262;2.136499;1.155248;0.006307;
1.809154;0.021210;1.374354;46.249947;19.469122;900.445862;0.003911;2.388532;0.980695;0.011369;
1.526193;0.009362;1.261426;18.055468;13.489187;243.553574;0.001511;1.922010;0.962218;0.003887;
1.339916;0.005293;1.155348;10.310410;10.808621;111.441315;0.000812;1.639853;0.954392;0.001725;
1.325688;0.006596;1.134373;9.590616;11.547936;110.751831;0.001300;1.654805;1.022003;0.002224;
1.446615;0.008496;1.185638;8.540200;14.714058;125.661003;0.001107;1.858009;1.045718;0.001959;
1.557684;0.008588;1.255740;8.250088;16.080730;132.667435;0.000693;1.996566;0.997937;0.001480;
1.600253;0.007900;1.299316;8.785466;15.564310;136.739731;0.000521;2.020591;0.945988;0.001554;
1.556912;0.008377;1.273934;10.820314;14.594779;157.920105;0.000929;1.955153;0.943391;0.002754;
1.475727;0.011067;1.205536;15.898429;14.372529;228.500641;0.001940;1.882793;1.011359;0.005236;
1.422391;0.015483;1.141414;21.156071;15.677785;331.680298;0.002879;1.890607;1.131165;0.007863;
1.753880;0.018378;1.319754;20.267097;18.927147;383.598328;0.004507;2.325249;1.005895;0.008375;
1.635709;0.010826;1.321695;17.529514;14.829510;259.954102;0.002188;2.071086;0.941251;0.004487;
1.453332;0.006243;1.238286;14.220500;11.561523;164.410645;0.000664;1.786952;0.922567;0.002096;
1.328649;0.005147;1.164635;13.442939;9.871624;132.703644;0.000495;1.616654;0.939359;0.001828;
1.332214;0.006191;1.160218;11.914662;10.547410;125.668823;0.000896;1.648686;0.991800;0.002159;
1.431340;0.006845;1.208943;9.454261;12.758875;120.625725;0.000661;1.799241;0.994762;0.001577;
1.524843;0.006169;1.279182;7.941783;13.579964;107.849129;0.000561;1.897896;0.934507;0.000917;
1.575802;0.005058;1.337968;7.567546;12.928647;97.838127;0.000475;1.920301;0.858936;0.000675;
1.572461;0.004299;1.352377;8.107606;11.815591;95.796150;0.000397;1.883969;0.807513;0.000754;
1.529777;0.005509;1.310182;11.269172;11.579246;130.488510;0.000683;1.852817;0.851809;0.001731;
1.478615;0.008842;1.226804;14.382817;13.395310;192.662292;0.001234;1.867093;0.987045;0.003424;
1.482044;0.014712;1.162422;16.445803;16.915504;278.189056;0.001318;1.992062;1.127725;0.005665;
1.639882;0.018339;1.252703;17.775448;18.271221;324.779114;0.004788;2.193567;1.056992;0.008650;
1.623501;0.009147;1.332479;13.684237;14.182410;194.075470;0.001719;2.030814;0.913889;0.003509;
1.539684;0.005538;1.311931;11.361086;11.836557;134.476151;0.000589;1.865755;0.849878;0.001672;
1.469400;0.004351;1.286716;12.608798;10.042271;126.620964;0.000177;1.754719;0.824713;0.001262;
1.455903;0.004578;1.269924;11.175060;10.432778;116.586929;0.000199;1.755165;0.860693;0.001135;
1.485322;0.004878;1.282143;9.496611;11.344800;107.737152;0.000247;1.807882;0.881851;0.000893;
1.513565;0.004543;1.300114;7.692163;11.978761;92.142578;0.000305;1.838132;0.867195;0.000505;
1.532447;0.003953;1.324492;6.622828;11.848827;78.472740;0.000453;1.839939;0.827232;0.000338;
1.547780;0.003251;1.358252;6.244368;10.916248;68.165070;0.000495;1.827298;0.768345;0.000277;
1.564007;0.002763;1.388366;6.648749;9.962285;66.236732;0.000368;1.824573;0.723107;0.000218;
1.556347;0.003538;1.364256;8.158418;10.460216;85.338806;0.000411;1.840726;0.771114;0.000552;
1.527307;0.005690;1.303311;11.128425;11.825980;131.604538;0.000650;1.862343;0.873865;0.001609;
1.499151;0.010264;1.221037;14.151864;14.664769;207.533829;0.001070;1.936988;1.036941;0.003471;
1.493527;0.016786;1.135048;13.238419;18.816076;249.095093;0.001391;2.076365;1.186632;0.004953;
1.735451;0.017543;1.291966;9.148602;20.811638;190.397369;0.005518;2.328126;1.039481;0.006233;
1.678386;0.010216;1.353970;10.446881;15.786437;164.919022;0.002243;2.133696;0.941247;0.003232;
1.604779;0.005713;1.373646;11.279317;11.824794;133.375595;0.000750;1.940888;0.826123;0.001700;
1.561103;0.003750;1.370874;10.131497;10.149197;102.826553;0.000209;1.841167;0.757629;0.000864;
1.573371;0.003316;1.389461;9.565817;9.832508;94.055977;0.000125;1.843301;0.732624;0.000624;
1.631716;0.003191;1.436116;8.070489;10.349078;83.522118;0.000255;1.906692;0.711992;0.000442;
1.651648;0.002828;1.449656;6.348936;11.011803;69.913231;0.000273;1.921647;0.694485;0.000159;
1.612200;0.002433;1.421936;5.328774;10.967464;58.443142;0.000318;1.863308;0.679954;0.000055;
1.555572;0.002154;1.385582;4.959467;10.223415;50.702690;0.000410;1.783504;0.662589;0.000139;
1.523766;0.002016;1.374680;5.256660;9.056049;47.604576;0.000457;1.738812;0.651360;0.000206;
1.537333;0.002138;1.387018;5.745100;8.955918;51.452644;0.000421;1.764214;0.670053;0.000151;
1.566911;0.002711;1.398086;7.095829;9.516225;67.525505;0.000334;1.825324;0.717267;0.000206;
1.563604;0.004010;1.360295;8.473019;10.968203;92.933777;0.000451;1.867392;0.801118;0.000624;
1.524014;0.006211;1.282838;9.683529;12.853271;124.465019;0.000756;1.887826;0.921992;0.001386;
1.463952;0.009247;1.188497;10.292453;14.954524;153.918747;0.001072;1.902525;1.068187;0.002181;
1.381674;0.013900;1.065702;9.309188;18.009441;167.653275;0.001214;1.930553;1.259158;0.002272;
1.674298;0.016013;1.231556;5.539356;23.293604;129.031570;0.005864;2.250394;1.071380;0.004089;
1.709374;0.009012;1.373160;6.587456;17.320354;114.097069;0.002441;2.162136;0.927045;0.001821;
1.685096;0.005905;1.414528;7.689947;13.890621;106.818138;0.000947;2.058903;0.839544;0.000973;
1.651889;0.004460;1.424106;8.826815;11.766923;103.864449;0.000336;1.973616;0.778792;0.000754;
1.667245;0.003297;1.471393;9.073050;10.153595;92.124084;0.000134;1.946049;0.699612;0.000515;
1.732952;0.002444;1.550791;7.952602;9.347671;74.338310;0.000209;1.980985;0.616768;0.000295;
1.793638;0.001827;1.617975;5.842001;9.353218;54.641510;0.000333;2.014606;0.545324;0.000148;
1.793918;0.001527;1.621849;4.583906;9.775333;44.809212;0.000379;1.995260;0.508407;0.000115;
1.730111;0.001492;1.560153;4.140121;10.132482;41.949696;0.000403;1.923084;0.513575;0.000143;
1.636244;0.001493;1.475019;4.341387;9.722342;42.208450;0.000352;1.822545;0.534077;0.000181;
1.560113;0.001612;1.413195;5.191797;8.739037;45.371304;0.000300;1.751313;0.577820;0.000194;
1.536577;0.001857;1.391843;6.136091;8.472879;51.990360;0.000239;1.744760;0.627821;0.000174;
1.557061;0.002302;1.399424;6.810253;9.011749;61.372288;0.000236;1.794774;0.680769;0.000152;
1.562465;0.002778;1.387530;7.015790;9.836177;69.008553;0.000308;1.823709;0.724944;0.000219;
1.517089;0.003231;1.331140;6.885571;10.554396;72.673035;0.000468;1.793250;0.780896;0.000354;
1.427974;0.003866;1.233332;6.840659;11.371153;77.786186;0.000542;1.724372;0.880415;0.000443;
1.320924;0.005661;1.105159;7.017257;13.070246;91.717270;0.000630;1.670434;1.067203;0.000621;
1.681238;0.007664;1.336655;5.365535;18.634054;99.981674;0.001614;2.118993;0.927602;0.000661;
1.682212;0.004600;1.416572;5.971974;14.276884;85.261192;0.000659;2.027554;0.802797;0.000299;
1.671443;0.003664;1.440680;6.735309;12.251777;82.519508;0.000325;1.976090;0.743299;0.000305;
1.701087;0.003370;1.477248;7.196136;11.652583;83.853577;0.000167;1.995689;0.711478;0.000262;
1.799078;0.002794;1.584967;7.265028;10.783652;78.343529;0.000180;2.074646;0.637817;0.000181;
1.913784;0.001693;1.741854;6.811619;8.535048;58.137489;0.000275;2.132456;0.501934;0.000129;
1.977489;0.001044;1.839809;5.559103;7.111557;39.533875;0.000314;2.147629;0.396409;0.000125;
1.987191;0.000922;1.844222;4.847991;7.614367;36.914375;0.000264;2.148747;0.377660;0.000091;
1.945190;0.001193;1.767373;5.012078;9.326215;46.743717;0.000176;2.131739;0.434555;0.000055;
1.857488;0.001773;1.651389;5.596462;10.649061;59.597069;0.000143;2.077159;0.519840;0.000134;
1.720023;0.002097;1.523900;6.236245;10.379987;64.732147;0.000104;1.950015;0.587905;0.000206;
