ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.303578;0.014586;1.037384;50.000000;15.329733;766.486633;0.006262;1.705291;1.087074;0.010040;
1.338910;0.015151;1.256971;38.774128;11.765942;456.214111;0.005462;1.750246;1.067363;0.010497;
1.691337;0.018617;1.182981;9.220655;26.382074;243.260010;0.001723;2.386324;1.050019;0.006397;
2.214502;0.046654;1.043731;8.440293;44.641254;376.785278;0.008594;3.367998;0.992378;0.016387;
1.478258;0.022534;1.284677;36.340427;16.909325;614.492126;0.004990;1.971013;1.024331;0.016460;
1.306364;0.013663;1.126273;18.055916;15.046434;271.677155;0.001992;1.724118;1.093343;0.008766;
1.279367;0.003224;1.235824;13.220508;3.048951;40.308678;0.002924;1.291989;0.060155;0.003218;
1.409686;0.000508;1.404029;25.964994;1.287775;33.437077;0.000393;1.445803;0.143509;0.000468;
1.529516;0.003371;1.529516;0.000000;0.000000;0.000000;0.003371;1.624757;0.311881;0.003116;
1.617768;0.011699;1.343546;14.056184;16.218430;227.969223;0.002236;2.135339;0.973552;0.004767;
1.802086;0.030221;1.080227;8.978565;34.316967;308.117126;0.001798;2.787726;1.113191;0.006787;
1.942003;0.023895;1.271709;9.783371;30.257338;296.018738;0.002680;2.822788;1.023726;0.005704;
1.447490;0.026672;1.324230;50.000000;17.547020;877.351013;0.004504;1.974609;1.085320;0.020144;
1.501715;0.008191;1.394812;38.679493;9.690146;374.809967;0.002460;1.775479;0.724192;0.006168;
1.405368;0.002931;1.242282;3.405924;12.068302;41.103722;0.001778;1.614759;0.664245;0.001523;
1.372926;0.001628;1.343979;27.757328;3.839915;106.585777;0.000674;1.452949;0.308894;0.001436;
1.404578;0.000716;1.404578;0.000000;0.000000;0.000000;0.000716;1.378013;-0.116176;0.000694;
1.492366;0.000762;1.479482;1.479482;1.447433;2.141450;0.000758;1.519096;0.099683;0.000740;
1.667496;0.004637;1.461944;9.615104;11.587457;111.414604;0.001443;1.988724;0.719500;0.001883;
1.687341;0.019520;1.297013;19.340752;21.280031;411.571808;0.001588;2.410453;1.075075;0.006918;
1.619437;0.015128;1.285935;23.361265;18.521540;432.686584;0.001514;2.195231;1.018427;0.006911;
1.618369;0.015677;1.434823;50.000000;15.200876;760.043823;0.001194;2.052826;0.878504;0.011219;
1.664993;0.025340;1.495606;50.000000;17.298311;864.915588;0.005062;2.241876;0.989558;0.017842;
1.536108;0.038570;1.079976;25.623812;27.502495;704.718750;0.002097;2.396222;1.207770;0.021963;
1.500165;0.005664;1.292573;16.038004;12.237716;196.268539;0.000742;1.853191;0.861577;0.002257;
1.530692;0.007427;1.471069;50.000000;8.968091;448.404572;0.001702;1.747457;0.602873;0.006220;
1.509673;0.002754;1.376961;26.073133;7.486569;195.198303;0.000881;1.741551;0.649985;0.001245;
1.480473;0.001613;1.327647;2.824360;11.741366;33.161846;0.000931;1.652551;0.535564;0.000702;
1.592201;0.002608;1.431688;8.668849;9.369948;81.226662;0.000749;1.830217;0.618599;0.001048;
1.519127;0.001434;1.450356;15.990300;5.126890;81.980515;0.000282;1.675262;0.474124;0.000740;
1.608945;0.001359;1.526406;6.807181;5.500351;37.441891;0.000692;1.754721;0.415735;0.000748;
1.821511;0.009427;1.433931;9.240384;19.369616;178.982697;0.001607;2.344986;0.873384;0.002659;
1.807148;0.012920;1.424193;14.287679;19.384251;276.955933;0.001046;2.436405;0.959997;0.003373;
1.642738;0.009184;1.320867;10.106874;18.063063;182.561096;0.000287;2.176812;0.975629;0.001713;
1.549478;0.011040;1.321985;41.843037;14.164858;592.700684;0.001302;2.002759;0.954495;0.005761;
