ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
0.865084;0.009114;0.756930;29.049440;9.378266;272.433411;0.003204;1.114420;1.511903;0.006242;
0.809913;0.002753;0.761740;24.746889;4.040891;99.999474;0.001740;0.914804;0.939947;0.002181;
0.752990;0.001764;0.752990;0.000000;0.000000;0.000000;0.001764;0.724069;-0.410729;0.001717;
0.709415;0.001835;0.709415;0.000000;0.000000;0.000000;0.001835;0.613739;-1.876459;0.001305;
0.691982;0.000966;0.691982;0.000000;0.000000;0.000000;0.000966;0.626788;-1.218591;0.000721;
0.717410;0.001652;0.724225;50.000000;1.505922;75.296082;0.001444;0.743608;0.348818;0.001614;
0.773614;0.002844;0.760500;50.000000;3.085676;154.283783;0.001969;0.849244;0.781167;0.002550;
0.803127;0.002151;0.795677;50.000000;2.210152;110.507622;0.001692;0.860277;0.579748;0.001983;
0.778141;0.001467;0.778141;0.000000;0.000000;0.000000;0.001467;0.770522;-0.095878;0.001464;
0.872803;0.007146;0.749608;19.594007;9.422609;184.626663;0.001929;1.112829;1.461615;0.004415;
0.835162;0.003099;0.745996;10.575430;6.586067;69.650490;0.001152;1.009746;1.288771;0.001550;
0.808362;0.001834;0.756676;11.579129;3.967232;45.937092;0.001062;0.930550;1.059622;0.001045;
0.796943;0.001287;0.762647;25.597734;3.031222;77.592422;0.000681;0.895125;0.918336;0.000776;
0.811096;0.001643;0.770714;26.733635;3.830632;102.406715;0.000588;0.924992;0.999354;0.000971;
0.857677;0.002730;0.791591;18.276791;5.346221;97.711777;0.000971;1.014105;1.152247;0.001510;
0.928964;0.003342;0.837171;11.998541;6.742369;80.898590;0.001061;1.122460;1.182048;0.001548;
0.969541;0.002726;0.879308;10.443270;6.544485;68.345825;0.000720;1.156552;1.087604;0.001073;
0.935674;0.002125;0.874979;13.664171;4.929256;67.354202;0.000639;1.087500;0.990822;0.001012;
0.837781;0.001733;0.815612;17.897968;2.728621;48.836781;0.001080;0.932125;0.819585;0.001273;
0.869677;0.007893;0.713257;12.276358;11.178741;137.234222;0.001824;1.157102;1.616000;0.003921;
0.837532;0.003821;0.720993;8.637774;8.603467;74.314804;0.000778;1.063142;1.500232;0.001250;
0.825207;0.002602;0.735575;8.321250;6.817475;56.729908;0.000656;1.018016;1.398459;0.000694;
0.853585;0.002494;0.769073;10.100089;6.403342;64.674332;0.000548;1.044803;1.325689;0.000651;
0.914989;0.003021;0.817199;11.026070;7.155916;78.901619;0.000549;1.124921;1.272719;0.000877;
0.996860;0.003864;0.871938;10.276934;8.655511;88.952118;0.000542;1.237849;1.228934;0.001153;
1.066865;0.004804;0.911907;9.284725;10.326331;95.877144;0.000471;1.349026;1.231192;0.001206;
1.078101;0.005486;0.912214;9.248930;11.080882;102.486298;0.000385;1.387838;1.278870;0.001206;
1.018655;0.005397;0.867426;9.508688;10.507961;99.916924;0.000524;1.316068;1.344812;0.001374;
0.924771;0.004176;0.806976;8.949118;8.727389;78.102440;0.000725;1.176356;1.394534;0.001131;
0.815853;0.003046;0.743334;7.245071;5.843537;42.336838;0.001575;0.990131;1.334361;0.001453;
0.880081;0.011374;0.684783;10.537582;13.603210;143.344940;0.003188;1.238060;1.759195;0.005345;
0.836275;0.005158;0.695166;7.989251;10.331779;82.543175;0.001032;1.104290;1.648875;0.001576;
0.828907;0.003587;0.711491;7.635347;8.825994;67.389526;0.000543;1.066180;1.566553;0.000737;
0.884875;0.003701;0.759602;7.663187;9.193841;70.454117;0.000454;1.131618;1.464904;0.000700;
0.992530;0.004440;0.847003;8.531236;10.109999;86.250778;0.000367;1.267980;1.335348;0.000899;
1.104607;0.004841;0.936985;8.597658;10.991318;94.499588;0.000259;1.399975;1.207836;0.000954;
1.143337;0.005676;0.957085;8.394315;12.008051;100.799355;0.000287;1.469186;1.220903;0.001006;
1.078798;0.007553;0.877085;8.415698;13.393841;112.718521;0.000415;1.454208;1.407990;0.001248;
0.986665;0.009185;0.779396;8.748612;14.267929;124.824577;0.000506;1.393229;1.619857;0.001642;
0.942934;0.008520;0.749488;8.419446;13.602695;114.527145;0.000826;1.327478;1.672076;0.001664;
0.909488;0.005988;0.766389;8.323101;10.436517;86.864182;0.001451;1.210468;1.568453;0.001680;
0.856540;0.003003;0.801306;12.853066;4.403264;56.595436;0.001923;1.014927;1.167618;0.001748;
0.915663;0.014488;0.696896;10.667698;14.766339;157.522858;0.005335;1.314000;1.751705;0.007372;
0.847035;0.006406;0.688883;8.083204;11.411663;92.242805;0.001449;1.139224;1.690841;0.002233;
0.824430;0.004031;0.690326;6.693268;9.999549;66.929665;0.000623;1.071881;1.612921;0.000918;
0.889414;0.004278;0.746386;7.189014;10.370974;74.557076;0.000403;1.151903;1.503178;0.000859;
1.018720;0.005472;0.844226;7.692185;11.839551;91.072021;0.000459;1.322924;1.361100;0.001182;
1.130450;0.005578;0.943471;8.123075;12.048232;97.868690;0.000454;1.445229;1.214646;0.001234;
1.118509;0.005444;0.943121;8.149668;11.497003;93.696747;0.000598;1.431901;1.229317;0.001105;
0.988006;0.006437;0.814944;7.739983;12.098164;93.639580;0.000729;1.323708;1.488368;0.001127;
0.861905;0.008806;0.682842;8.724258;13.206327;115.215408;0.000724;1.243739;1.854301;0.001654;
0.868230;0.011071;0.669004;9.618887;14.472822;139.212448;0.001122;1.292156;1.906177;0.002615;
0.950730;0.009433;0.773595;11.227869;12.435863;139.628235;0.002088;1.319082;1.625285;0.003385;
0.973599;0.005731;0.867037;25.591429;7.949962;203.450882;0.002075;1.222712;1.294464;0.002952;
0.958024;0.012393;0.748931;10.224851;13.957734;142.715744;0.004567;1.336817;1.628416;0.006100;
0.869959;0.006419;0.718353;8.452605;10.826601;91.512985;0.001982;1.147349;1.591701;0.002756;
0.825420;0.003917;0.697522;7.500551;9.457612;70.937302;0.000641;1.060385;1.564975;0.001129;
0.864321;0.004344;0.732241;8.025193;9.638319;77.349373;0.000684;1.111289;1.510690;0.001282;
0.968864;0.005751;0.812824;8.606894;10.801702;92.969093;0.001117;1.251110;1.395033;0.001977;
1.052289;0.005572;0.891112;8.563262;10.753017;92.080910;0.001225;1.337309;1.260424;0.001896;
1.025258;0.004683;0.877604;7.463555;10.126822;75.582092;0.001163;1.291140;1.255021;0.001437;
0.897661;0.003887;0.779504;7.328940;8.723223;63.931973;0.001033;1.131927;1.394942;0.001182;
0.764777;0.004017;0.671799;10.492055;7.516816;78.866844;0.000969;0.986409;1.682706;0.001428;
0.758674;0.006675;0.647237;16.513805;9.293962;153.478668;0.001181;1.027318;1.870517;0.003009;
0.911805;0.010639;0.757470;21.096922;11.873460;250.493454;0.001931;1.260369;1.664696;0.005222;
1.022219;0.008616;0.862128;16.025362;11.040595;176.929535;0.002183;1.343450;1.391087;0.004169;
0.987686;0.004724;0.863566;8.857186;8.732188;77.342613;0.001620;1.237368;1.272228;0.001836;
0.983908;0.008534;0.813680;11.058224;11.561310;127.847542;0.002694;1.316647;1.488797;0.003652;
0.880514;0.005732;0.753442;11.172056;9.089686;101.550491;0.002062;1.130450;1.483278;0.002780;
0.819746;0.004018;0.712962;13.049740;8.010676;104.537239;0.000772;1.041467;1.529474;0.001574;
0.823393;0.004302;0.719482;14.688546;7.915497;116.267136;0.000859;1.045840;1.523035;0.001807;
0.871697;0.005178;0.755246;10.966873;8.490395;93.113083;0.001747;1.106565;1.453051;0.002434;
0.912912;0.004936;0.786121;7.335976;9.071818;66.550636;0.002074;1.145369;1.357548;0.002287;
0.905986;0.003887;0.784846;6.114583;8.848865;54.107124;0.001580;1.121286;1.311128;0.001609;
0.854138;0.002746;0.755287;6.309930;7.456211;47.048168;0.000971;1.040316;1.301612;0.000997;
0.797808;0.002193;0.737080;12.938000;4.852068;62.776054;0.000905;0.936113;1.178390;0.001200;
0.786621;0.002806;0.751077;37.970856;4.769211;181.091034;0.000849;0.906552;1.084703;0.002066;
1.027122;0.011659;0.818343;12.724449;13.979534;177.881882;0.001901;1.431576;1.537904;0.004515;
1.035974;0.008504;0.828902;7.442574;13.888683;103.367546;0.001738;1.415891;1.489320;0.001967;
0.996127;0.007413;0.831817;5.873158;11.772782;69.143417;0.003205;1.324522;1.465245;0.002344;
0.991404;0.006612;0.841778;12.316697;10.196540;125.587685;0.001789;1.287330;1.390336;0.002691;
0.869887;0.004765;0.756982;12.866592;8.239912;106.019592;0.001436;1.111999;1.483182;0.001943;
0.808509;0.004858;0.706785;24.937109;8.101274;202.022369;0.000987;1.046069;1.620017;0.002067;
0.792631;0.004431;0.700827;21.549662;7.587421;163.506363;0.000793;1.014330;1.602610;0.001943;
0.796836;0.003642;0.708779;11.772321;6.745616;79.411552;0.001332;0.990871;1.474141;0.001681;
0.804571;0.002753;0.718636;6.068423;6.641428;40.302998;0.001336;0.971222;1.322848;0.001277;
0.813952;0.002392;0.720985;4.947748;7.268877;35.964573;0.001051;0.980776;1.301735;0.000921;
0.839309;0.002363;0.741524;5.917871;7.470478;44.209320;0.000650;1.021611;1.316987;0.000658;
0.885257;0.002742;0.794894;8.957334;6.830775;61.185532;0.000658;1.076504;1.256447;0.000940;
0.973677;0.004719;0.868478;16.327991;8.050724;131.452148;0.000795;1.211711;1.256824;0.002128;
1.070467;0.015272;0.804604;9.615393;17.095127;164.376358;0.002696;1.590869;1.620462;0.003554;
1.079548;0.009338;0.879999;7.840713;13.341090;104.603653;0.002653;1.478376;1.452247;0.002305;
1.144438;0.008003;0.948249;6.828067;12.898647;88.072830;0.002802;1.507970;1.297358;0.002343;
0.999484;0.006632;0.833211;10.906001;11.046329;120.471283;0.001490;1.306684;1.403365;0.002371;
0.865092;0.005521;0.739810;15.042717;9.268687;139.426239;0.000899;1.139539;1.596040;0.001893;
0.797562;0.005868;0.677586;14.500316;9.301518;134.874954;0.001012;1.073424;1.778807;0.002078;
0.785484;0.004489;0.680998;13.359231;8.237514;110.046844;0.000675;1.026271;1.695915;0.001532;
0.783582;0.002602;0.700344;10.741404;6.527397;70.113411;0.000435;0.968874;1.467386;0.000801;
0.767516;0.001423;0.698654;6.648654;5.483053;36.454922;0.000300;0.911232;1.284884;0.000301;
0.768302;0.001354;0.694093;5.309307;5.948758;31.583780;0.000307;0.910919;1.276507;0.000241;
0.828292;0.002387;0.726937;6.251468;7.812485;48.839500;0.000293;1.028907;1.424102;0.000293;
0.970497;0.004945;0.817812;7.740569;10.826499;83.803261;0.000413;1.268849;1.435773;0.000752;
1.207021;0.010462;0.958418;9.985027;15.194251;151.715012;0.001096;1.651360;1.333232;0.002470;
1.504499;0.021241;1.087701;13.238853;21.092489;279.240356;0.002677;2.164808;1.237997;0.006277;
1.097007;0.012509;0.887709;13.024878;13.976539;182.042709;0.002210;1.548068;1.494511;0.003918;
1.185368;0.010542;0.978866;11.655846;13.167037;153.472946;0.002344;1.591053;1.304822;0.003791;
1.013318;0.010406;0.790472;8.571516;14.563365;124.830109;0.002740;1.397629;1.534083;0.003832;
0.888978;0.008912;0.709085;10.940577;12.738051;139.361633;0.001294;1.245826;1.738356;0.002935;
0.827008;0.008263;0.667951;11.217457;11.934778;133.877869;0.000887;1.170484;1.868571;0.002514;
