ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.307059;0.004854;1.283812;4.798370;7.817587;37.511677;0.002159;1.585585;0.642181;0.001943;
1.337803;0.008904;1.212167;3.263298;9.392943;30.651974;0.007903;1.542462;0.749181;0.007199;
1.286969;0.018235;1.118622;2.748068;13.138296;36.104935;0.016866;1.530289;0.893210;0.015818;
1.561882;0.007725;1.366823;13.881969;11.006701;152.794693;0.001825;1.899995;0.851310;0.003620;
1.488002;0.006248;1.290182;8.152689;11.506966;93.812706;0.001653;1.829860;0.913701;0.001716;
1.445800;0.007332;1.221448;4.989836;13.957357;69.644928;0.003411;1.797942;0.968851;0.002328;
1.482990;0.023443;1.195192;20.884903;17.300289;361.314850;0.005435;2.039904;1.163141;0.013123;
1.446062;0.018562;1.155217;17.049376;16.691046;284.571930;0.003741;1.984787;1.183770;0.008560;
1.418466;0.012500;1.142119;11.638184;15.489503;180.269684;0.002387;1.905580;1.163099;0.003864;
1.115984;0.036992;0.787589;20.366444;22.002310;448.108795;0.007627;1.802934;1.651607;0.020409;
1.182434;0.028121;0.872014;19.162146;19.684736;377.201813;0.006366;1.801801;1.527313;0.014443;
1.685369;0.015231;1.543095;50.000000;10.398947;519.947388;0.007834;1.998000;0.753878;0.012206;
1.949913;0.022319;1.935329;50.000000;9.201262;460.063049;0.015392;2.141659;0.443893;0.021375;
2.112172;0.031543;2.349880;50.000000;6.068558;303.427917;0.032226;2.117661;0.013951;0.031542;
2.092932;0.045013;2.092932;0.000000;0.000000;0.000000;0.045013;1.916809;-0.546214;0.044365;
1.892354;0.008308;1.630907;9.011874;12.143011;109.431290;0.004516;2.285590;0.774319;0.003477;
2.181586;0.007785;2.099287;50.000000;6.559773;327.988647;0.004649;2.387491;0.417422;0.006684;
2.347443;0.011057;2.472336;50.000000;3.642488;182.124405;0.010916;2.395660;0.104370;0.011005;
2.415417;0.015464;2.415417;0.000000;0.000000;0.000000;0.015464;2.299068;-0.284506;0.015190;
2.326289;0.023084;2.326289;0.000000;0.000000;0.000000;0.023084;2.112082;-0.608739;0.022180;
1.805608;0.009794;1.425074;5.680856;19.434187;110.402809;0.002849;2.296467;0.922129;0.001187;
2.161741;0.003252;1.916307;5.525805;11.780383;65.096092;0.001405;2.451868;0.550093;0.000731;
2.344813;0.001862;2.261067;50.000000;3.440354;172.017700;0.001324;2.489380;0.287763;0.001319;
2.409369;0.003210;2.409369;0.000000;0.000000;0.000000;0.003210;2.428433;0.041339;0.003201;
2.362507;0.007029;2.362507;0.000000;0.000000;0.000000;0.007029;2.290442;-0.174199;0.006912;
2.208352;0.014485;2.208352;0.000000;0.000000;0.000000;0.014485;2.100268;-0.291997;0.014217;
1.991283;0.027637;2.149193;50.000000;6.367505;318.375275;0.026244;1.912970;-0.232682;0.027490;
1.512328;0.012043;1.172654;5.750745;19.037689;109.480888;0.004438;1.971096;1.061036;0.003877;
1.937849;0.007717;1.587375;4.306495;18.665249;80.381798;0.004176;2.291657;0.704556;0.003386;
2.168454;0.003306;1.938290;3.625823;12.795188;46.393089;0.002259;2.385671;0.439454;0.001822;
2.243963;0.001354;2.128932;3.224537;6.956065;22.430088;0.001083;2.378078;0.283622;0.000833;
2.246609;0.001626;2.227887;50.000000;1.256668;62.833385;0.001517;2.330662;0.186120;0.001435;
2.220629;0.004934;2.220629;0.000000;0.000000;0.000000;0.004934;2.269149;0.112018;0.004874;
2.180644;0.009655;2.289462;50.000000;3.069303;153.465134;0.009702;2.181377;0.001799;0.009655;
2.113518;0.012840;2.201257;50.000000;4.620894;231.044693;0.011657;2.111896;-0.004115;0.012840;
1.989938;0.015263;2.047994;50.000000;5.506817;275.340851;0.013015;1.992604;0.007265;0.015262;
1.386800;0.007817;1.166024;10.687366;12.502855;133.622589;0.001578;1.746498;1.020068;0.002638;
1.708718;0.006373;1.447567;5.010644;14.419762;72.252289;0.003339;2.003424;0.709535;0.003145;
1.907570;0.005344;1.672801;3.901447;13.376578;52.188011;0.003870;2.136261;0.522976;0.003554;
2.005673;0.003099;1.819519;3.187484;11.406082;36.356697;0.002405;2.177231;0.394444;0.002121;
2.062094;0.001518;1.953353;3.080513;6.971109;21.474594;0.001236;2.193041;0.304958;0.000979;
2.164780;0.001493;2.132376;4.182618;2.083194;8.713202;0.001428;2.251170;0.198727;0.001279;
2.257206;0.002679;2.257206;0.000000;0.000000;0.000000;0.002679;2.302113;0.102094;0.002626;
2.286800;0.003774;2.286800;0.000000;0.000000;0.000000;0.003774;2.324882;0.085445;0.003737;
2.218792;0.005515;2.272807;50.000000;3.329629;166.481476;0.004800;2.253395;0.080206;0.005485;
2.139380;0.011693;2.113156;50.000000;6.953660;347.683044;0.007670;2.235193;0.218586;0.011460;
1.419414;0.009459;1.208848;16.699295;12.182166;203.433594;0.001734;1.808437;1.035169;0.003750;
1.659424;0.004952;1.431055;9.604201;11.727765;112.635818;0.000428;1.978923;0.768752;0.001252;
1.806629;0.002955;1.597692;5.856833;10.863075;63.623222;0.001029;2.037014;0.555900;0.001085;
1.882232;0.002059;1.703072;3.858670;10.411588;40.174877;0.001202;2.056285;0.427640;0.001016;
1.957415;0.001346;1.826983;2.828425;8.689116;24.576517;0.001006;2.086442;0.319164;0.000795;
2.082564;0.001197;2.014591;2.345105;5.084079;11.922700;0.001102;2.170389;0.211437;0.000959;
2.223421;0.000981;2.223421;0.000000;0.000000;0.000000;0.000981;2.279695;0.129159;0.000890;
2.318410;0.000865;2.318410;0.000000;0.000000;0.000000;0.000865;2.371606;0.116161;0.000789;
2.300027;0.001351;2.282884;50.000000;2.324821;116.241043;0.000916;2.363811;0.138558;0.001244;
2.239376;0.004580;2.208594;50.000000;4.686187;234.309341;0.002798;2.306825;0.150026;0.004464;
1.700274;0.010481;1.375075;9.261417;16.410950;151.988663;0.001248;2.167038;0.936734;0.002645;
1.877892;0.004455;1.623943;8.731543;12.022633;104.976128;0.000614;2.186456;0.654195;0.001253;
1.939610;0.001507;1.772994;7.032674;8.037021;56.521751;0.000311;2.130096;0.442158;0.000327;
1.979610;0.000975;1.858223;4.010027;6.989197;28.026871;0.000549;2.118890;0.335420;0.000353;
2.039841;0.000847;1.959869;2.953767;5.288213;15.620147;0.000698;2.135862;0.234104;0.000559;
2.125005;0.000483;2.068170;2.535520;3.971329;10.069386;0.000431;2.180618;0.134194;0.000389;
2.208760;0.000383;2.154509;3.271567;3.250368;10.633799;0.000334;2.254900;0.106979;0.000321;
2.217888;0.000523;2.150661;4.383013;3.426379;15.017864;0.000455;2.263453;0.104945;0.000464;
2.171362;0.001453;2.122900;50.000000;2.367114;118.355675;0.001155;2.219574;0.113729;0.001388;
1.970096;0.010630;1.591117;7.085345;17.727388;125.604660;0.003392;2.405772;0.777980;0.003967;
2.029068;0.002784;1.821813;5.813066;10.308233;59.922436;0.001088;2.264777;0.497278;0.000956;
2.018723;0.001417;1.864935;4.660760;8.269388;38.541637;0.000653;2.196559;0.402006;0.000404;
2.015386;0.000978;1.891981;4.705054;6.629101;31.190281;0.000502;2.158422;0.335706;0.000332;
2.033312;0.000696;1.913831;4.483632;6.349592;28.469236;0.000366;2.142104;0.260847;0.000327;
2.078482;0.000633;1.988176;3.534204;5.156369;18.223663;0.000528;2.135021;0.139036;0.000536;
2.091199;0.000732;2.040463;2.040463;1.399954;2.856556;0.000825;2.102525;0.028976;0.000728;
2.078085;0.000865;2.031599;2.031599;3.490144;7.090572;0.000863;2.097132;0.048972;0.000854;
1.996235;0.011487;1.683127;4.537806;16.530806;75.013580;0.008269;2.336370;0.663550;0.007535;
1.976890;0.004880;1.764801;4.367232;11.684073;51.027061;0.003356;2.220569;0.528175;0.002864;
1.956269;0.001996;1.768634;4.697281;10.097664;47.431568;0.000817;2.165558;0.474370;0.000538;
1.972450;0.001334;1.786313;5.002660;9.616053;48.105843;0.000325;2.157553;0.425018;0.000232;
2.011760;0.000947;1.894563;4.199898;6.378685;26.789827;0.000669;2.110098;0.241207;0.000648;
2.026488;0.000804;1.987764;1.987764;2.860056;5.685115;0.000814;2.032578;0.016381;0.000803;
2.000297;0.001173;1.969967;1.969967;2.210887;4.355374;0.001183;2.012563;0.033512;0.001168;
1.503038;0.023141;1.476830;4.018833;18.503067;74.360733;0.009117;2.159430;0.769722;0.008080;
1.861199;0.004950;1.600896;4.345135;14.490173;62.961754;0.002545;2.146158;0.632321;0.002018;
1.924450;0.002034;1.710908;4.488188;11.651735;52.295181;0.000577;2.154457;0.520069;0.000253;
1.979593;0.001319;1.820474;3.566238;9.425422;33.613297;0.000733;2.139927;0.378115;0.000496;
1.989980;0.001712;1.872547;2.291080;8.681921;19.890974;0.001507;2.099490;0.271876;0.001333;
1.929602;0.002863;1.836366;1.836366;7.839235;14.395707;0.002781;2.009946;0.214566;0.002653;
1.760915;0.004123;1.632498;2.430117;9.608558;23.349916;0.003755;1.899475;0.386956;0.003446;
1.528093;0.019720;1.159717;4.245209;22.069082;93.687866;0.012805;2.009299;1.082076;0.010849;
