ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
0.995180;0.003823;0.956633;1.373702;4.397228;6.040479;0.003809;1.011732;0.127696;0.003810;
1.077532;0.002355;0.976898;4.018128;7.372139;29.622196;0.001581;1.216675;0.756414;0.001471;
1.082625;0.002698;0.989963;5.530654;6.257653;34.608917;0.001955;1.206177;0.683502;0.002021;
1.101300;0.003041;0.996571;7.258424;6.728026;48.834869;0.001911;1.242476;0.737871;0.002170;
1.154646;0.002107;1.032423;6.206627;8.105563;50.308208;0.000400;1.344045;0.857845;0.000500;
1.186973;0.002676;1.046895;6.325171;9.055492;57.277538;0.000611;1.397189;0.888246;0.000757;
1.194475;0.002767;1.054214;6.571868;9.013470;59.235336;0.000636;1.405983;0.883927;0.000837;
1.169728;0.002571;1.033750;5.039374;9.178114;46.251953;0.000909;1.365533;0.863722;0.000853;
1.065158;0.003269;0.954687;10.768097;7.786447;83.845215;0.000253;1.282295;1.049218;0.001085;
1.201416;0.003419;1.055507;7.884774;9.420336;74.277222;0.000265;1.449946;0.975449;0.000695;
1.289853;0.003906;1.110964;6.807628;11.110162;75.633842;0.000350;1.569794;0.960953;0.000580;
1.313906;0.003796;1.130641;5.867030;11.471848;67.305664;0.000633;1.589597;0.931410;0.000567;
1.248084;0.002958;1.108662;4.246381;9.649926;40.977257;0.001437;1.457011;0.830137;0.001047;
1.058599;0.002916;0.958235;14.634737;7.070729;103.478256;0.000192;1.261144;1.012008;0.001053;
1.193946;0.004444;1.036629;8.508020;10.174027;86.560829;0.000398;1.476599;1.065758;0.000921;
1.353216;0.005873;1.136754;6.883719;13.089593;90.105087;0.000751;1.696967;1.025164;0.000928;
1.421644;0.005056;1.204193;5.518385;13.183285;72.750443;0.001334;1.735036;0.916824;0.001060;
1.346549;0.003923;1.193373;3.618938;10.696795;38.711037;0.002580;1.556853;0.755349;0.002076;
1.161602;0.006875;0.990803;1.022562;22.214046;22.715229;0.006678;1.246371;0.456195;0.006557;
1.091724;0.004559;1.012985;50.000000;6.858203;342.910156;0.001410;1.268311;0.884028;0.003220;
1.093938;0.002936;0.982418;13.355771;7.237070;96.656654;0.000567;1.300583;0.982183;0.001039;
1.195741;0.004588;1.031965;8.635021;10.498506;90.654823;0.000313;1.491818;1.094353;0.000753;
1.379119;0.006569;1.141737;6.661736;14.179711;94.461487;0.000848;1.753204;1.052714;0.000797;
1.505279;0.004900;1.269284;4.995451;14.081361;70.342751;0.001434;1.816517;0.853486;0.001049;
1.442340;0.003479;1.289613;3.450336;10.507700;36.255096;0.002410;1.632075;0.639295;0.002032;
1.252120;0.004543;1.170348;1.878633;7.718340;14.499929;0.004341;1.350436;0.460646;0.004131;
1.211691;0.002452;1.129664;41.115082;5.491615;225.788193;0.000847;1.361769;0.674718;0.001506;
1.213377;0.002200;1.103526;10.802510;6.759047;73.014671;0.000448;1.403119;0.802167;0.000668;
1.254017;0.002933;1.104466;7.190853;9.449956;67.953247;0.000182;1.504407;0.928887;0.000242;
1.379049;0.004620;1.167685;5.803573;12.929410;75.036774;0.000622;1.699580;0.964446;0.000315;
1.497801;0.003673;1.285535;4.665863;12.968497;60.509232;0.001000;1.773906;0.794634;0.000592;
1.459693;0.002475;1.301873;3.399841;10.785033;36.667393;0.001427;1.640432;0.605593;0.001143;
1.317610;0.002417;1.223335;2.252428;7.958325;17.925556;0.002151;1.415400;0.423675;0.002011;
1.372193;0.001735;1.264922;6.914609;6.506814;44.992073;0.000662;1.537614;0.611949;0.000645;
1.375220;0.001760;1.252600;7.143210;7.414348;52.962242;0.000256;1.567142;0.682666;0.000274;
1.339021;0.002464;1.183454;5.924385;9.733246;57.663490;0.000222;1.576632;0.824284;0.000110;
1.337342;0.003242;1.155691;5.135449;11.592684;59.533634;0.000484;1.607115;0.899848;0.000142;
1.391726;0.003114;1.205130;4.271176;12.145727;51.876545;0.000892;1.646007;0.824479;0.000395;
1.421810;0.002010;1.275887;3.498251;10.039618;35.121101;0.000992;1.597732;0.613929;0.000712;
1.354769;0.001504;1.256337;2.820132;7.503009;21.159479;0.001125;1.463950;0.446114;0.000992;
1.205039;0.002414;1.135914;2.918269;5.482029;15.998037;0.002160;1.294978;0.449199;0.002052;
1.524581;0.001815;1.388524;5.265063;8.238266;43.374985;0.000603;1.715139;0.594149;0.000437;
1.515803;0.002037;1.354668;5.104327;9.767498;49.856503;0.000372;1.736994;0.669357;0.000143;
1.402050;0.003033;1.210600;4.947388;11.975863;59.249237;0.000425;1.667464;0.838669;0.000129;
1.250139;0.003937;1.053177;4.728762;13.028014;61.606373;0.000667;1.537950;1.020927;0.000252;
1.234583;0.003851;1.047030;4.138740;12.864844;53.244244;0.001194;1.501424;0.991319;0.000639;
1.353656;0.002879;1.199309;3.739426;10.642138;39.795483;0.001463;1.561618;0.742968;0.001028;
1.384025;0.002161;1.270032;3.673252;7.934044;29.143744;0.001422;1.535812;0.567211;0.001188;
1.267037;0.003073;1.162982;3.747958;7.467729;27.988735;0.002339;1.416704;0.634579;0.002089;
1.474959;0.003860;1.278596;4.402526;12.345782;54.352623;0.001682;1.738956;0.787060;0.001154;
1.621166;0.002388;1.440774;4.640780;10.797172;50.107300;0.000702;1.855164;0.642822;0.000342;
1.607177;0.003225;1.392179;4.740812;12.721222;60.308926;0.000742;1.884653;0.732817;0.000287;
1.440776;0.005124;1.191317;4.932500;15.189740;74.923393;0.000910;1.779030;0.946377;0.000417;
1.179344;0.005927;0.950898;4.844288;15.198981;73.628235;0.001069;1.517995;1.204669;0.000647;
1.122804;0.004501;0.925535;4.305961;13.762262;59.259766;0.001097;1.410755;1.171776;0.000601;
1.299069;0.003152;1.131404;4.079770;11.396671;46.495800;0.001251;1.532579;0.850222;0.000799;
1.399403;0.002601;1.257199;4.158910;9.437337;39.249039;0.001355;1.596600;0.683569;0.001012;
1.307525;0.003107;1.175838;4.420300;8.900507;39.342915;0.001797;1.506701;0.753844;0.001431;
1.480292;0.003828;1.282566;4.160328;12.589927;52.378223;0.001709;1.742262;0.780415;0.001100;
1.653020;0.003596;1.424687;4.811993;13.219491;63.612103;0.000924;1.945498;0.735783;0.000379;
1.645169;0.004800;1.378120;5.164404;15.067597;77.815163;0.000888;1.988065;0.819846;0.000333;
1.459284;0.007149;1.170902;5.498412;16.927296;93.073250;0.001001;1.861553;1.028589;0.000543;
1.155416;0.006940;0.924523;5.773197;15.137402;87.391197;0.000729;1.527969;1.295188;0.000603;
1.060960;0.004632;0.878085;4.847530;12.815049;62.121338;0.000995;1.351202;1.265107;0.000613;
1.259385;0.003052;1.093237;4.200448;11.293116;47.436150;0.001130;1.489558;0.876542;0.000758;
1.392307;0.002576;1.236529;4.562667;10.000160;45.627407;0.001060;1.603074;0.721789;0.000794;
1.321016;0.003037;1.175821;5.478824;9.261567;50.742496;0.001257;1.542313;0.799908;0.001044;
1.480456;0.004235;1.288779;3.568803;12.780152;45.609840;0.002584;1.720011;0.734450;0.001977;
1.667105;0.004759;1.398089;5.120769;15.060142;77.119507;0.001013;2.008171;0.806040;0.000395;
1.662075;0.006113;1.366761;6.174612;15.839768;97.804413;0.000684;2.057032;0.882044;0.000303;
1.456858;0.008689;1.162964;6.999473;16.654392;116.571968;0.000708;1.902851;1.085255;0.000763;
1.136328;0.007618;0.930113;7.744193;13.478139;104.377312;0.000816;1.512055;1.324411;0.001290;
1.037807;0.004325;0.879109;6.001089;11.040575;66.255463;0.000771;1.316458;1.270940;0.000641;
1.237317;0.002852;1.070201;4.450993;11.241847;50.037380;0.000800;1.469658;0.902297;0.000511;
1.385117;0.002494;1.215512;4.456924;10.842411;48.323807;0.000860;1.597193;0.729093;0.000692;
1.332390;0.002903;1.170979;5.316883;10.096518;53.681999;0.001066;1.546004;0.769767;0.001068;
1.513849;0.003157;1.324884;3.965023;12.080680;47.900173;0.001434;1.748034;0.700918;0.000993;
1.693021;0.005232;1.402281;5.758154;15.596108;89.804794;0.000661;2.065347;0.836131;0.000147;
1.669688;0.007350;1.352506;7.157910;16.393051;117.339989;0.000618;2.104703;0.926873;0.000467;
1.422634;0.009637;1.143274;8.751651;15.750049;137.838928;0.000792;1.882013;1.129161;0.001372;
1.084512;0.007998;0.906559;10.696332;11.965764;127.989784;0.001069;1.445132;1.372072;0.002164;
1.008078;0.004099;0.868293;7.305139;9.776153;71.416153;0.000657;1.268911;1.269573;0.000851;
1.223898;0.003023;1.047296;4.680937;11.785068;55.165161;0.000541;1.474862;0.962464;0.000269;
1.398950;0.002588;1.212344;4.030705;12.123855;48.867691;0.000865;1.619808;0.741642;0.000625;
1.343483;0.002439;1.179970;4.217817;10.682458;45.056652;0.001023;1.535640;0.705772;0.000939;
1.101330;0.001811;0.998643;4.738936;7.146979;33.869080;0.000936;1.230126;0.687267;0.001045;
1.598244;0.003681;1.381495;5.334759;12.420946;66.262756;0.000937;1.876679;0.737893;0.000701;
