ADC;CSm;Da;Db;f;Pf;CSs;Dk;K;CSk;
1.995115;0.001563;1.995115;0.000000;0.000000;0.000000;0.001563;1.966019;-0.076408;0.001543;
2.167731;0.009466;1.940951;26.539631;12.636200;335.360107;0.001801;2.517982;0.562288;0.006871;
2.104444;0.001504;2.104444;0.000000;0.000000;0.000000;0.001504;1.892817;-0.638745;0.000510;
2.468173;0.000142;2.468173;0.000000;0.000000;0.000000;0.000142;2.413231;-0.114313;0.000085;
2.665401;0.000322;2.669547;50.000000;0.854723;42.736164;0.000273;2.671900;0.011769;0.000321;
2.723128;0.003766;2.577924;50.000000;7.736950;386.847504;0.000484;2.914958;0.284006;0.003115;
2.595289;0.008291;2.381451;50.000000;11.649413;582.470642;0.000685;2.906958;0.437349;0.006553;
2.314440;0.002765;2.171415;50.000000;7.227580;361.378998;0.000164;2.502179;0.330297;0.002042;
2.201494;0.003066;1.944183;11.327380;11.462795;129.843445;0.000189;2.492760;0.493725;0.001164;
2.098316;0.001018;1.930957;4.226845;9.311386;39.357784;0.000561;2.240996;0.296457;0.000547;
2.068169;0.003856;2.161311;5.760883;0.000000;0.000000;0.003153;2.131669;-0.086162;0.003123;
2.478875;0.001909;2.297671;4.567798;9.036466;41.276749;0.001457;2.659222;0.306837;0.001269;
2.634286;0.002024;2.317302;9.035112;12.038866;108.772499;0.000290;2.878033;0.362639;0.000880;
2.524724;0.000434;2.524724;0.000000;0.000000;0.000000;0.000434;2.526693;0.003808;0.000434;
2.525538;0.001481;2.525538;0.000000;0.000000;0.000000;0.001481;2.430754;-0.269682;0.001152;
2.577468;0.001685;2.577468;0.000000;0.000000;0.000000;0.001685;2.343934;-0.555378;0.000777;
2.528049;0.000633;2.528049;0.000000;0.000000;0.000000;0.000633;2.422643;-0.224609;0.000424;
2.541253;0.001523;2.541253;0.000000;0.000000;0.000000;0.001523;2.480236;-0.123895;0.001456;
2.529278;0.003955;2.495248;50.000000;4.540958;227.047913;0.002580;2.637037;0.187289;0.003741;
2.288217;0.003160;1.966318;2.935822;19.408348;56.979458;0.002228;2.510511;0.393594;0.002033;
2.487213;0.001747;2.380970;14.306460;4.475356;64.026505;0.001250;2.566481;0.142588;0.001621;
2.681340;0.000698;2.685965;50.000000;0.592878;29.643909;0.000675;2.696688;0.027696;0.000694;
2.819041;0.000717;2.819041;0.000000;0.000000;0.000000;0.000717;2.738638;-0.150499;0.000615;
2.966933;0.003887;2.966933;0.000000;0.000000;0.000000;0.003887;2.615148;-0.809022;0.002428;
2.596516;0.004134;2.596516;0.000000;0.000000;0.000000;0.004134;2.214348;-1.046809;0.001873;
2.505321;0.001644;2.505321;0.000000;0.000000;0.000000;0.001644;2.420958;-0.178894;0.001515;
2.454417;0.003203;2.352018;50.000000;5.682770;284.138489;0.001467;2.529762;0.138218;0.003095;
2.397644;0.002178;2.397644;0.000000;0.000000;0.000000;0.002178;2.145551;-0.669906;0.000927;
2.321876;0.001473;2.321876;0.000000;0.000000;0.000000;0.001473;2.251128;-0.162803;0.001366;
2.527388;0.001519;2.494096;50.000000;1.819617;90.980843;0.001344;2.554592;0.050883;0.001505;
2.534357;0.001882;2.286937;9.094946;9.946486;90.462746;0.000506;2.760194;0.354443;0.000855;
2.624911;0.001239;2.494293;2.494293;8.420074;21.002129;0.001156;2.721658;0.167918;0.001066;
2.723881;0.003658;2.723881;0.000000;0.000000;0.000000;0.003658;2.635000;-0.177039;0.003531;
2.496808;0.006882;2.311003;50.000000;9.373080;468.653992;0.002299;2.770329;0.422447;0.005514;
2.532695;0.001238;2.512752;2.512752;1.429360;3.591626;0.001232;2.597726;0.121076;0.001158;
1.936269;0.001085;1.822435;4.498163;6.596321;29.671324;0.000789;2.051297;0.270300;0.000760;
2.083794;0.000622;2.053572;28.947996;2.644787;76.561287;0.000216;2.164867;0.178777;0.000471;
2.137459;0.002773;2.004301;35.445244;7.301192;258.792542;0.000195;2.372410;0.432643;0.001550;
2.169807;0.005909;1.899989;22.720087;12.423695;282.267426;0.000243;2.560892;0.615537;0.002562;
2.170336;0.006643;1.874200;19.663815;13.625025;267.919983;0.000127;2.588239;0.640724;0.002816;
2.145958;0.000914;2.145958;0.000000;0.000000;0.000000;0.000914;2.026448;-0.314768;0.000589;
2.337740;0.000152;2.337740;0.000000;0.000000;0.000000;0.000152;2.340171;0.005100;0.000152;
2.429848;0.000340;2.429848;0.000000;0.000000;0.000000;0.000340;2.354778;-0.161714;0.000231;
2.582627;0.000298;2.582627;0.000000;0.000000;0.000000;0.000298;2.523367;-0.117252;0.000233;
2.733660;0.001384;2.581120;50.000000;5.722764;286.138245;0.000095;2.882873;0.232114;0.000993;
